stt,ngay_gio,phien,nhanh,huong,entry,SL,TP,VSA,hop_luu,grade,retrace,leg_gia,hap_thu,rut_rau,tp_vuong_vung,chi_tiet,diem_1_5(dien),ly_do(dien)
3,2026-05-26 12:30,A,CBR,SHORT,4536.3,4539.4,4527.0,3.01,1,B,51%,4.3,,,,phá 4541.3 · hồi 51% · leg 4.3giá · VSA 3.0x tím,,
12,2026-05-27 22:38,My,QUAY_DAU,LONG,4492.3,4489.4,4496.65,2.88,0,B,,,✓,✓,,đảo chiều VWAP 4490.776 · rút râu dưới · VSA 2.9x tím · hấp thụ ✓,,
14,2026-05-28 10:53,A,CBR,SHORT,4409.3,4414.1,4394.9,3.66,0,B,45%,18.6,,,1.9R,phá 4424.1 · hồi 45% · leg 18.6giá · VSA 3.7x tím · TP vướng vùng ↧1.9R,,
18,2026-05-29 09:50,A,CBR,LONG,4569.6,4565.4,4582.2,2.85,1,B,65%,4.9,,,,phá 4563.9 · hồi 65% · leg 4.9giá · VSA 2.8x tím,,
19,2026-05-29 10:45,A,CBR,LONG,4570.9,4567.1,4582.3,7.08,0,B,72%,9.9,,,,phá 4564.5 · hồi 72% · leg 9.9giá · VSA 7.1x tím,,
20,2026-05-29 14:04,Au,CBR,LONG,4578.9,4573.7,4594.5,3.51,0,B,68%,9.2,,,,phá 4571.0 · hồi 68% · leg 9.2giá · VSA 3.5x tím,,
21,2026-05-29 16:37,Au,CBR,LONG,4602.5,4598.6,4614.2,5.42,0,B,57%,4.2,,,,phá 4597.0 · hồi 57% · leg 4.2giá · VSA 5.4x tím,,
23,2026-06-02 08:05,A,CBR,LONG,4566.6,4563.0,4577.4,2.45,0,B,82%,5.1,,,3.0R,phá 4562.3 · hồi 82% · leg 5.1giá · VSA 2.4x tím · TP vướng vùng ↧3.0R,,
24,2026-06-02 12:25,A,CBR,LONG,4562.8,4559.0,4574.2,3.48,0,B,88%,3.2,,,0.3R,phá 4558.8 · hồi 88% · leg 3.2giá · VSA 3.5x tím · TP vướng vùng ↧0.3R,,
25,2026-06-02 13:59,A,CBR,SHORT,4532.1,4535.4,4522.2,2.06,0,B,79%,3.4,,,0.3R,phá 4535.9 · hồi 79% · leg 3.4giá · VSA 2.1x · TP vướng vùng ↧0.3R,,
