stt,ngay_gio,phien,loc_phien_chet,nhanh,huong,entry,SL,TP,RR,KQ,R,VSA,climax,hop_luu,grade,retrace,leg_gia,hap_thu,rut_rau,tp_vuong_vung,chi_tiet,diem_1_5(dien),ly_do(dien)
1,2026-05-22 07:10,DEM,,QUAY_DAU,SHORT,4559.3,4561.0,4556.75,1.5,WIN,+1.5,2.20,tim,0,B,,,✓,✓,,đảo chiều VWAP 4560.581 · rút râu trên · VSA 2.2x tím · hấp thụ ✓,,
2,2026-05-26 11:25,A,,CBR,SHORT,4558.0,4561.0,4549.0,3,WIN,+3.0,2.41,tim,1,B,77%,2.2,,,,phá 4560.8 · hồi 77% · leg 2.2giá · VSA 2.4x tím,,
3,2026-05-26 12:30,A,,CBR,SHORT,4536.3,4539.4,4527.0,3,LOSS,-1.0,3.01,tim,1,B,51%,4.3,,,,phá 4541.3 · hồi 51% · leg 4.3giá · VSA 3.0x tím,,
4,2026-05-26 17:34,Au,,CBR,SHORT,4533.1,4536.1,4524.1,3,WIN,+3.0,8.54,tim,0,B,61%,6.2,,,,phá 4537.2 · hồi 61% · leg 6.2giá · VSA 8.5x tím,,
5,2026-05-26 17:58,Au,,CBR,SHORT,4523.6,4527.2,4512.8,3,WIN,+3.0,2.30,tim,0,B,83%,3.6,,,,phá 4527.6 · hồi 83% · leg 3.6giá · VSA 2.3x tím,,
6,2026-05-27 05:23,DEM,BỎ(phiên chết),CBR,SHORT,4537.2,4540.2,4528.2,3,LOSS,-1.0,2.30,tim,0,B,54%,4.8,,,1.5R,phá 4540.9 · hồi 54% · leg 4.8giá · VSA 2.3x tím · TP vướng vùng ↧1.5R,,
7,2026-05-27 05:41,DEM,BỎ(phiên chết),CBR,SHORT,4527.5,4533.1,4510.7,3,LOSS,-1.0,2.24,tim,1,B,66%,11.1,,,2.6R,phá 4536.7 · hồi 66% · leg 11.1giá · VSA 2.2x tím · TP vướng vùng ↧2.6R,,
8,2026-05-27 06:21,DEM,BỎ(phiên chết),CBR,SHORT,4516.5,4522.6,4498.2,3,LOSS,-1.0,4.23,tim,0,B,69%,6.2,,,0.6R,phá 4524.3 · hồi 69% · leg 6.2giá · VSA 4.2x tím · TP vướng vùng ↧0.6R,,
9,2026-05-27 10:23,A,,CBR,SHORT,4509.7,4512.9,4500.1,3,WIN,+3.0,2.72,tim,0,B,75%,3.6,,,,phá 4513.6 · hồi 75% · leg 3.6giá · VSA 2.7x tím,,
10,2026-05-27 10:44,A,,CBR,SHORT,4496.2,4500.6,4483.0,3,WIN,+3.0,4.14,tim,0,B,84%,9.7,,,,phá 4502.0 · hồi 84% · leg 9.7giá · VSA 4.1x tím,,
11,2026-05-27 20:59,My,,QUAY_DAU,LONG,4488.5,4486.379,4491.681,1.5,WIN,+1.5,3.12,tim,0,B,,,✓,✓,,đảo chiều VWAP 4486.579 · rút râu dưới · VSA 3.1x tím · hấp thụ ✓,,
12,2026-05-27 22:38,My,,QUAY_DAU,LONG,4492.3,4489.4,4496.65,1.5,LOSS,-1.0,2.88,tim,0,B,,,✓,✓,,đảo chiều VWAP 4490.776 · rút râu dưới · VSA 2.9x tím · hấp thụ ✓,,
