bar_idx,datetime,open,high,low,close,bar_volume,bar_ticks,bid_vol,ask_vol,volume,delta,delta_finish,max_delta,min_delta,cum_delta,trades,buy_trades,sell_trades,max_one_trade,avg_size,avg_buy_size,avg_sell_size,levels,poc_price,poc_volume,open_interest
0,2026-01-29 11:49:00,5639.2,5639.2,5639.2,5639.2,1,1,1,0,1,-1,-1,-1,-1,-1,1,0,0,0,1,0,0,1,5639.2,1,34399
1,2026-01-29 13:03:00,5652.3,5652.3,5651.4,5651.4,4,4,1,0,4,-1,-1,-1,-1,-2,4,0,0,0,1,0,0,2,5652.3,3,34399
2,2026-01-29 13:43:00,5643.8,5643.9,5643.8,5643.9,2,2,0,2,2,2,2,2,2,0,2,0,0,0,1,0,0,2,5643.8,1,34399
3,2026-01-29 13:53:00,5635.4,5635.4,5635.4,5635.4,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,5635.4,1,34399
4,2026-01-29 13:54:00,5633.6,5633.6,5633.6,5633.6,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,5633.6,1,34399
5,2026-01-29 13:58:00,5625.7,5625.7,5625.5,5625.5,3,3,0,0,3,0,0,0,0,1,3,0,0,0,1,0,0,3,5625.5,1,34399
6,2026-01-29 13:59:00,5625.1,5625.2,5625.1,5625.1,3,3,0,0,3,0,0,0,0,1,3,0,0,0,1,0,0,2,5625.1,2,34399
7,2026-01-29 14:02:00,5628.0,5628.0,5628.0,5628.0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,5628.0,1,34399
8,2026-01-29 14:06:00,5636.4,5636.4,5636.4,5636.4,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,5636.4,1,34399
9,2026-01-29 14:07:00,5637.3,5637.3,5637.3,5637.3,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,5637.3,1,34399
10,2026-01-29 14:14:00,5643.5,5643.5,5643.5,5643.5,1,1,1,0,1,-1,-1,-1,-1,0,1,0,0,0,1,0,0,1,5643.5,1,34399
11,2026-01-29 14:29:00,5663.2,5663.2,5663.2,5663.2,1,1,1,0,1,-1,-1,-1,-1,-1,1,0,0,0,1,0,0,1,5663.2,1,34399
12,2026-01-29 14:39:00,5643.3,5643.3,5643.3,5643.3,1,1,1,0,1,-1,-1,-1,-1,-2,1,0,0,0,1,0,0,1,5643.3,1,34399
13,2026-01-29 15:04:00,5555.0,5555.0,5553.9,5553.9,2,2,1,0,2,-1,-1,-1,-1,-3,2,0,0,0,1,0,0,2,5553.9,1,34399
14,2026-01-29 15:09:00,5526.5,5526.5,5526.5,5526.5,1,1,0,0,1,0,0,0,0,-3,1,0,0,0,1,0,0,1,5526.5,1,34399
15,2026-01-29 15:11:00,5534.7,5534.7,5534.7,5534.7,1,1,0,0,1,0,0,0,0,-3,1,0,0,0,1,0,0,1,5534.7,1,34399
16,2026-01-29 15:12:00,5515.0,5515.4,5515.0,5515.4,3,2,3,0,3,-3,-3,-3,-3,-6,2,0,0,0,1.5,0,0,2,5515.4,2,34399
17,2026-01-29 15:16:00,5432.4,5435.8,5432.4,5435.2,4,4,2,0,4,-2,-2,-2,-2,-8,4,0,0,0,1,0,0,4,5432.4,1,34399
18,2026-01-29 15:17:00,5405.0,5405.0,5405.0,5405.0,11,2,0,0,11,0,0,0,0,-8,2,0,0,0,5.5,0,0,1,5405.0,11,34399
19,2026-01-29 15:18:00,5419.0,5419.0,5419.0,5419.0,1,1,0,1,1,1,1,1,1,-7,1,0,0,0,1,0,0,1,5419.0,1,34399
20,2026-01-29 15:22:00,5464.9,5464.9,5464.9,5464.9,1,1,0,1,1,1,1,1,1,-6,1,0,0,0,1,0,0,1,5464.9,1,34399
21,2026-01-29 15:24:00,5435.0,5435.0,5410.0,5410.0,9,7,3,0,9,-3,-3,-3,-3,-9,7,0,0,0,1.2857,0,0,4,5435.0,5,34276
22,2026-01-29 15:28:00,5293.6,5320.0,5293.6,5320.0,3,3,1,2,3,1,1,1,1,-8,3,0,0,0,1,0,0,2,5320.0,2,34276
23,2026-01-29 15:36:00,5220.0,5225.3,5220.0,5223.8,3,3,0,1,3,1,1,1,1,-7,3,0,0,0,1,0,0,3,5220.0,1,34276
24,2026-01-29 15:46:00,5271.8,5278.9,5271.5,5278.9,5,5,2,0,5,-2,-2,-2,-2,-9,5,0,0,0,1,0,0,3,5278.9,3,34276
25,2026-01-29 15:47:00,5270.5,5270.5,5270.5,5270.5,1,1,0,0,1,0,0,0,0,-9,1,0,0,0,1,0,0,1,5270.5,1,34276
26,2026-01-29 15:48:00,5270.8,5273.3,5270.8,5273.3,3,3,0,1,3,1,1,1,1,-8,3,0,0,0,1,0,0,3,5270.8,1,34276
27,2026-01-29 15:49:00,5275.0,5275.0,5273.1,5273.1,2,2,2,0,2,-2,-2,-2,-2,-10,2,0,0,0,1,0,0,2,5273.1,1,34276
28,2026-01-29 15:55:00,5303.2,5303.2,5303.2,5303.2,1,1,0,1,1,1,1,1,1,-9,1,0,0,0,1,0,0,1,5303.2,1,34276
29,2026-01-29 16:01:00,5300.0,5300.0,5300.0,5300.0,7,4,0,0,7,0,0,0,0,-9,4,0,0,0,1.75,0,0,1,5300.0,7,34276
