bar_idx,datetime,price,bid_vol,ask_vol,volume,delta,trades,buy_trades,sell_trades,max_one_trade
0,2026-07-28 16:32:00,4041.3,1,0,1,-1,1,0,0,0
0,2026-07-28 16:32:00,4041.4,1,0,1,-1,1,0,0,0
0,2026-07-28 16:32:00,4041.5,2,3,5,1,5,0,0,0
0,2026-07-28 16:32:00,4041.7,0,1,1,1,1,0,0,0
0,2026-07-28 16:32:00,4042.0,0,2,2,2,2,0,0,0
0,2026-07-28 16:32:00,4042.1,1,17,18,16,18,0,0,0
0,2026-07-28 16:32:00,4042.2,5,1,6,-4,2,0,0,0
0,2026-07-28 16:32:00,4042.3,0,1,1,1,1,0,0,0
0,2026-07-28 16:32:00,4042.5,1,3,4,2,4,0,0,0
0,2026-07-28 16:32:00,4042.6,0,1,1,1,1,0,0,0
0,2026-07-28 16:32:00,4042.8,1,1,2,0,2,0,0,0
0,2026-07-28 16:32:00,4042.9,1,1,3,0,3,0,0,0
0,2026-07-28 16:32:00,4043.0,5,7,12,2,11,0,0,0
0,2026-07-28 16:32:00,4043.1,3,4,7,1,7,0,0,0
0,2026-07-28 16:32:00,4043.2,1,6,8,5,8,0,0,0
0,2026-07-28 16:32:00,4043.3,1,6,8,5,8,0,0,0
0,2026-07-28 16:32:00,4043.4,0,5,5,5,5,0,0,0
0,2026-07-28 16:32:00,4043.5,0,2,2,2,2,0,0,0
0,2026-07-28 16:32:00,4043.6,2,3,5,1,5,0,0,0
0,2026-07-28 16:32:00,4043.7,42,6,48,-36,20,0,0,0
0,2026-07-28 16:32:00,4043.8,8,6,15,-2,14,0,0,0
0,2026-07-28 16:32:00,4043.9,3,3,6,0,5,0,0,0
0,2026-07-28 16:32:00,4044.0,0,3,3,3,3,0,0,0
0,2026-07-28 16:32:00,4044.1,0,8,8,8,5,0,0,0
1,2026-07-28 16:33:00,4043.2,2,0,2,-2,2,0,0,0
1,2026-07-28 16:33:00,4043.4,1,0,1,-1,1,0,0,0
1,2026-07-28 16:33:00,4043.5,2,0,2,-2,2,0,0,0
1,2026-07-28 16:33:00,4043.6,1,2,3,1,3,0,0,0
1,2026-07-28 16:33:00,4043.7,7,2,9,-5,9,0,0,0
1,2026-07-28 16:33:00,4043.8,1,2,3,1,3,0,0,0
1,2026-07-28 16:33:00,4043.9,2,5,7,3,6,0,0,0
1,2026-07-28 16:33:00,4044.0,0,1,1,1,1,0,0,0
2,2026-07-28 16:34:00,4043.0,1,0,2,-1,2,0,0,0
2,2026-07-28 16:34:00,4043.1,1,0,1,-1,1,0,0,0
2,2026-07-28 16:34:00,4043.2,4,0,4,-4,4,0,0,0
2,2026-07-28 16:34:00,4043.3,3,1,4,-2,4,0,0,0
2,2026-07-28 16:34:00,4043.4,5,0,6,-5,6,0,0,0
2,2026-07-28 16:34:00,4043.5,15,2,17,-13,17,0,0,0
2,2026-07-28 16:34:00,4043.6,4,3,7,-1,7,0,0,0
2,2026-07-28 16:34:00,4043.7,1,3,4,2,4,0,0,0
2,2026-07-28 16:34:00,4043.8,0,7,7,7,6,0,0,0
2,2026-07-28 16:34:00,4043.9,6,3,9,-3,4,0,0,0
2,2026-07-28 16:34:00,4044.0,0,4,5,4,5,0,0,0
3,2026-07-28 16:35:00,4043.0,2,0,2,-2,2,0,0,0
3,2026-07-28 16:35:00,4043.1,3,1,4,-2,4,0,0,0
3,2026-07-28 16:35:00,4043.2,8,2,11,-6,5,0,0,0
3,2026-07-28 16:35:00,4043.3,0,2,3,2,3,0,0,0
3,2026-07-28 16:35:00,4043.4,1,5,6,4,6,0,0,0
3,2026-07-28 16:35:00,4043.5,0,6,8,6,8,0,0,0
3,2026-07-28 16:35:00,4043.6,0,4,4,4,4,0,0,0
3,2026-07-28 16:35:00,4043.7,0,1,1,1,1,0,0,0
3,2026-07-28 16:35:00,4043.8,0,1,1,1,1,0,0,0
3,2026-07-28 16:35:00,4043.9,0,1,1,1,1,0,0,0
4,2026-07-28 16:36:00,4042.4,2,0,4,-2,4,0,0,0
4,2026-07-28 16:36:00,4042.5,5,0,5,-5,5,0,0,0
4,2026-07-28 16:36:00,4042.6,5,1,7,-4,7,0,0,0
4,2026-07-28 16:36:00,4042.7,7,3,12,-4,11,0,0,0
4,2026-07-28 16:36:00,4042.8,2,6,8,4,8,0,0,0
4,2026-07-28 16:36:00,4042.9,1,7,8,6,8,0,0,0
4,2026-07-28 16:36:00,4043.0,3,4,7,1,6,0,0,0
4,2026-07-28 16:36:00,4043.2,0,1,1,1,1,0,0,0
4,2026-07-28 16:36:00,4043.3,0,0,1,0,1,0,0,0
4,2026-07-28 16:36:00,4043.4,1,0,1,-1,1,0,0,0
4,2026-07-28 16:36:00,4043.5,3,0,3,-3,3,0,0,0
4,2026-07-28 16:36:00,4043.6,0,1,1,1,1,0,0,0
4,2026-07-28 16:36:00,4043.7,2,0,2,-2,2,0,0,0
4,2026-07-28 16:36:00,4043.8,2,0,2,-2,2,0,0,0
4,2026-07-28 16:36:00,4043.9,4,0,4,-4,4,0,0,0
4,2026-07-28 16:36:00,4044.0,0,1,1,1,1,0,0,0
5,2026-07-28 16:37:00,4041.6,1,0,1,-1,1,0,0,0
5,2026-07-28 16:37:00,4041.7,6,0,6,-6,6,0,0,0
5,2026-07-28 16:37:00,4041.8,9,3,12,-6,11,0,0,0
5,2026-07-28 16:37:00,4041.9,3,3,6,0,6,0,0,0
5,2026-07-28 16:37:00,4042.0,1,3,4,2,4,0,0,0
5,2026-07-28 16:37:00,4042.1,1,2,3,1,3,0,0,0
5,2026-07-28 16:37:00,4042.2,3,1,4,-2,4,0,0,0
5,2026-07-28 16:37:00,4042.3,2,3,5,1,4,0,0,0
5,2026-07-28 16:37:00,4042.4,1,0,1,-1,1,0,0,0
5,2026-07-28 16:37:00,4042.6,0,1,1,1,1,0,0,0
6,2026-07-28 16:38:00,4042.2,1,0,1,-1,1,0,0,0
6,2026-07-28 16:38:00,4042.4,0,2,3,2,3,0,0,0
6,2026-07-28 16:38:00,4042.5,8,2,11,-6,5,0,0,0
6,2026-07-28 16:38:00,4042.6,0,3,3,3,3,0,0,0
6,2026-07-28 16:38:00,4042.7,0,3,3,3,3,0,0,0
6,2026-07-28 16:38:00,4042.8,0,3,3,3,3,0,0,0
6,2026-07-28 16:38:00,4042.9,1,1,3,0,3,0,0,0
6,2026-07-28 16:38:00,4043.0,0,2,2,2,2,0,0,0
6,2026-07-28 16:38:00,4043.1,0,1,1,1,1,0,0,0
7,2026-07-28 16:39:00,4042.1,1,0,1,-1,1,0,0,0
7,2026-07-28 16:39:00,4042.3,0,1,1,1,1,0,0,0
7,2026-07-28 16:39:00,4042.4,2,0,3,-2,3,0,0,0
7,2026-07-28 16:39:00,4042.7,2,0,2,-2,2,0,0,0
7,2026-07-28 16:39:00,4042.8,2,0,2,-2,2,0,0,0
7,2026-07-28 16:39:00,4042.9,0,0,1,0,1,0,0,0
7,2026-07-28 16:39:00,4043.0,3,1,4,-2,4,0,0,0
7,2026-07-28 16:39:00,4043.1,0,2,2,2,2,0,0,0
7,2026-07-28 16:39:00,4043.2,0,2,2,2,2,0,0,0
8,2026-07-28 16:40:00,4042.2,1,0,1,-1,1,0,0,0
8,2026-07-28 16:40:00,4042.3,1,2,3,1,3,0,0,0
8,2026-07-28 16:40:00,4042.4,0,1,1,1,1,0,0,0
8,2026-07-28 16:40:00,4042.5,0,2,2,2,2,0,0,0
8,2026-07-28 16:40:00,4042.6,0,1,1,1,1,0,0,0
8,2026-07-28 16:40:00,4042.7,2,0,2,-2,2,0,0,0
8,2026-07-28 16:40:00,4042.8,0,1,1,1,1,0,0,0
8,2026-07-28 16:40:00,4042.9,0,1,1,1,1,0,0,0
8,2026-07-28 16:40:00,4043.0,2,3,8,1,8,0,0,0
8,2026-07-28 16:40:00,4043.1,1,1,6,0,6,0,0,0
8,2026-07-28 16:40:00,4043.2,0,5,6,5,6,0,0,0
8,2026-07-28 16:40:00,4043.3,1,1,2,0,2,0,0,0
8,2026-07-28 16:40:00,4043.4,0,1,1,1,1,0,0,0
8,2026-07-28 16:40:00,4043.5,0,2,2,2,2,0,0,0
9,2026-07-28 16:41:00,4041.3,2,0,2,-2,2,0,0,0
9,2026-07-28 16:41:00,4041.4,4,0,4,-4,4,0,0,0
9,2026-07-28 16:41:00,4041.5,8,5,13,-3,12,0,0,0
9,2026-07-28 16:41:00,4041.6,1,2,3,1,3,0,0,0
9,2026-07-28 16:41:00,4041.7,1,2,3,1,3,0,0,0
9,2026-07-28 16:41:00,4041.8,2,1,3,-1,3,0,0,0
9,2026-07-28 16:41:00,4041.9,1,1,3,0,3,0,0,0
9,2026-07-28 16:41:00,4042.4,4,0,5,-4,5,0,0,0
10,2026-07-28 16:42:00,4041.1,2,0,2,-2,2,0,0,0
10,2026-07-28 16:42:00,4041.2,2,0,2,-2,2,0,0,0
10,2026-07-28 16:42:00,4041.3,0,1,1,1,1,0,0,0
10,2026-07-28 16:42:00,4041.4,2,3,5,1,5,0,0,0
10,2026-07-28 16:42:00,4041.5,1,4,5,3,3,0,0,0
10,2026-07-28 16:42:00,4041.6,3,18,21,15,11,0,0,0
10,2026-07-28 16:42:00,4041.7,0,2,2,2,2,0,0,0
10,2026-07-28 16:42:00,4041.8,1,1,3,0,3,0,0,0
10,2026-07-28 16:42:00,4041.9,3,1,4,-2,4,0,0,0
10,2026-07-28 16:42:00,4042.0,0,1,1,1,1,0,0,0
11,2026-07-28 16:43:00,4041.7,2,1,3,-1,3,0,0,0
11,2026-07-28 16:43:00,4041.8,0,0,1,0,1,0,0,0
11,2026-07-28 16:43:00,4042.0,0,3,3,3,3,0,0,0
11,2026-07-28 16:43:00,4042.1,0,1,1,1,1,0,0,0
11,2026-07-28 16:43:00,4042.2,5,0,6,-5,3,0,0,0
11,2026-07-28 16:43:00,4042.3,0,4,5,4,5,0,0,0
11,2026-07-28 16:43:00,4042.4,0,0,1,0,1,0,0,0
12,2026-07-28 16:44:00,4040.4,3,0,3,-3,3,0,0,0
12,2026-07-28 16:44:00,4040.5,4,1,5,-3,3,0,0,0
12,2026-07-28 16:44:00,4040.6,1,1,2,0,2,0,0,0
12,2026-07-28 16:44:00,4040.7,1,3,6,2,6,0,0,0
12,2026-07-28 16:44:00,4040.8,1,2,3,1,3,0,0,0
12,2026-07-28 16:44:00,4040.9,0,2,2,2,2,0,0,0
12,2026-07-28 16:44:00,4041.0,3,4,7,1,7,0,0,0
12,2026-07-28 16:44:00,4041.1,5,0,5,-5,5,0,0,0
12,2026-07-28 16:44:00,4041.2,4,0,4,-4,4,0,0,0
12,2026-07-28 16:44:00,4041.3,0,2,3,2,3,0,0,0
12,2026-07-28 16:44:00,4041.4,0,1,1,1,1,0,0,0
12,2026-07-28 16:44:00,4041.5,4,0,4,-4,3,0,0,0
12,2026-07-28 16:44:00,4041.6,2,0,2,-2,2,0,0,0
12,2026-07-28 16:44:00,4041.7,0,1,1,1,1,0,0,0
12,2026-07-28 16:44:00,4041.8,1,0,1,-1,1,0,0,0
12,2026-07-28 16:44:00,4041.9,4,0,5,-4,5,0,0,0
12,2026-07-28 16:44:00,4042.0,1,1,2,0,2,0,0,0
12,2026-07-28 16:44:00,4042.1,4,0,4,-4,4,0,0,0
12,2026-07-28 16:44:00,4042.2,2,2,4,0,3,0,0,0
13,2026-07-28 16:45:00,4039.8,1,0,1,-1,1,0,0,0
13,2026-07-28 16:45:00,4039.9,3,0,5,-3,5,0,0,0
13,2026-07-28 16:45:00,4040.0,3,0,4,-3,4,0,0,0
13,2026-07-28 16:45:00,4040.1,0,1,2,1,2,0,0,0
13,2026-07-28 16:45:00,4040.2,2,0,4,-2,4,0,0,0
13,2026-07-28 16:45:00,4040.3,4,0,4,-4,4,0,0,0
13,2026-07-28 16:45:00,4040.4,7,0,8,-7,8,0,0,0
13,2026-07-28 16:45:00,4040.5,0,3,3,3,3,0,0,0
13,2026-07-28 16:45:00,4040.6,4,2,9,-2,7,0,0,0
13,2026-07-28 16:45:00,4040.7,3,0,4,-3,4,0,0,0
13,2026-07-28 16:45:00,4040.8,10,2,12,-8,12,0,0,0
13,2026-07-28 16:45:00,4040.9,7,5,12,-2,12,0,0,0
13,2026-07-28 16:45:00,4041.0,5,8,15,3,15,0,0,0
13,2026-07-28 16:45:00,4041.1,3,9,12,6,12,0,0,0
13,2026-07-28 16:45:00,4041.2,4,3,7,-1,7,0,0,0
13,2026-07-28 16:45:00,4041.3,0,5,5,5,5,0,0,0
13,2026-07-28 16:45:00,4041.4,1,5,6,4,5,0,0,0
13,2026-07-28 16:45:00,4041.5,0,5,5,5,5,0,0,0
13,2026-07-28 16:45:00,4041.6,0,3,3,3,3,0,0,0
13,2026-07-28 16:45:00,4041.7,0,1,1,1,1,0,0,0
14,2026-07-28 16:46:00,4038.1,3,1,6,-2,6,0,0,0
14,2026-07-28 16:46:00,4038.2,1,0,2,-1,2,0,0,0
14,2026-07-28 16:46:00,4038.3,2,1,4,-1,4,0,0,0
14,2026-07-28 16:46:00,4038.4,4,1,7,-3,7,0,0,0
14,2026-07-28 16:46:00,4038.5,0,1,1,1,1,0,0,0
14,2026-07-28 16:46:00,4038.6,2,1,5,-1,5,0,0,0
14,2026-07-28 16:46:00,4038.7,1,0,2,-1,2,0,0,0
14,2026-07-28 16:46:00,4038.8,3,6,9,3,8,0,0,0
14,2026-07-28 16:46:00,4038.9,3,1,4,-2,4,0,0,0
14,2026-07-28 16:46:00,4039.0,1,1,2,0,2,0,0,0
14,2026-07-28 16:46:00,4039.1,1,0,1,-1,1,0,0,0
14,2026-07-28 16:46:00,4039.2,0,1,2,1,2,0,0,0
14,2026-07-28 16:46:00,4039.4,2,0,2,-2,2,0,0,0
14,2026-07-28 16:46:00,4039.5,8,5,13,-3,13,0,0,0
