bar_idx,datetime,open,high,low,close,bar_volume,bar_ticks,bid_vol,ask_vol,volume,delta,delta_finish,max_delta,min_delta,cum_delta,trades,buy_trades,sell_trades,max_one_trade,avg_size,avg_buy_size,avg_sell_size,levels,poc_price,poc_volume,open_interest
0,2026-07-28 16:32:00,4041.5,4044.1,4041.3,4043.8,172,134,78,90,172,12,12,12,12,12,134,0,0,0,1.2836,0,0,24,4043.7,48,109686
1,2026-07-28 16:33:00,4043.8,4044.0,4043.2,4043.6,28,27,16,12,28,-4,-4,-4,-4,8,27,0,0,0,1.037,0,0,8,4043.7,9,109686
2,2026-07-28 16:34:00,4043.6,4044.0,4043.0,4043.0,66,60,40,23,66,-17,-17,-17,-17,-9,60,0,0,0,1.1,0,0,11,4043.5,17,109686
3,2026-07-28 16:35:00,4043.1,4043.9,4043.0,4043.9,41,35,14,23,41,9,9,9,9,0,35,0,0,0,1.1714,0,0,10,4043.2,11,109686
4,2026-07-28 16:36:00,4044.0,4044.0,4042.4,4042.7,67,65,37,24,67,-13,-13,-13,-13,-13,65,0,0,0,1.0308,0,0,16,4042.7,12,109686
5,2026-07-28 16:37:00,4042.6,4042.6,4041.6,4042.3,43,41,27,16,43,-11,-11,-11,-11,-24,41,0,0,0,1.0488,0,0,10,4041.8,12,109686
6,2026-07-28 16:38:00,4042.4,4043.1,4042.2,4043.1,30,24,10,17,30,7,7,7,7,-17,24,0,0,0,1.25,0,0,9,4042.5,11,109686
7,2026-07-28 16:39:00,4042.9,4043.2,4042.1,4042.1,18,18,10,6,18,-4,-4,-4,-4,-21,18,0,0,0,1,0,0,9,4043.0,4,109686
8,2026-07-28 16:40:00,4042.3,4043.5,4042.2,4042.6,37,37,8,21,37,13,13,13,13,-8,37,0,0,0,1,0,0,14,4043.0,8,109686
9,2026-07-28 16:41:00,4042.4,4042.4,4041.3,4041.8,36,35,23,11,36,-12,-12,-12,-12,-20,35,0,0,0,1.0286,0,0,8,4041.5,13,109686
10,2026-07-28 16:42:00,4041.6,4042.0,4041.1,4041.6,46,34,14,31,46,17,17,17,17,-3,34,0,0,0,1.3529,0,0,10,4041.6,21,109686
11,2026-07-28 16:43:00,4041.7,4042.4,4041.7,4042.3,20,17,7,9,20,2,2,2,2,-1,17,0,0,0,1.1765,0,0,7,4042.2,6,109686
12,2026-07-28 16:44:00,4042.1,4042.2,4040.4,4041.0,64,60,40,20,64,-20,-20,-20,-20,-21,60,0,0,0,1.0667,0,0,19,4041.0,7,109686
13,2026-07-28 16:45:00,4040.7,4041.7,4039.8,4039.9,122,119,57,52,122,-5,-5,-5,-5,-26,119,0,0,0,1.0252,0,0,20,4041.0,15,109686
14,2026-07-28 16:46:00,4040.0,4040.3,4038.1,4038.4,131,99,52,65,131,13,13,13,13,-13,99,0,0,0,1.3232,0,0,22,4040.0,36,109686
15,2026-07-28 16:47:00,4038.3,4040.5,4038.0,4039.5,158,126,81,69,158,-12,-12,-12,-12,-25,126,0,0,0,1.254,0,0,26,4039.9,31,109686
16,2026-07-28 16:48:00,4039.6,4039.8,4038.2,4038.4,94,78,59,29,94,-30,-30,-30,-30,-55,78,0,0,0,1.2051,0,0,17,4038.6,17,109686
17,2026-07-28 16:49:00,4038.5,4039.0,4037.7,4038.1,117,89,54,54,117,0,0,0,0,-55,89,0,0,0,1.3146,0,0,13,4037.9,47,109686
18,2026-07-28 16:50:00,4038.1,4038.7,4037.8,4037.8,68,63,35,21,68,-14,-14,-14,-14,-69,63,0,0,0,1.0794,0,0,10,4038.3,16,109686
19,2026-07-28 16:51:00,4037.6,4038.7,4037.6,4038.7,37,29,16,15,37,-1,-1,-1,-1,-70,29,0,0,0,1.2759,0,0,12,4037.6,8,109686
20,2026-07-28 16:52:00,4038.3,4038.5,4037.3,4037.3,50,44,34,14,50,-20,-20,-20,-20,-90,44,0,0,0,1.1364,0,0,12,4038.3,9,109686
21,2026-07-28 16:53:00,4037.7,4038.3,4036.9,4037.9,40,40,25,11,40,-14,-14,-14,-14,-104,40,0,0,0,1,0,0,15,4037.9,7,109686
22,2026-07-28 16:54:00,4037.9,4038.6,4037.9,4038.6,19,16,2,16,19,14,14,14,14,-90,16,0,0,0,1.1875,0,0,7,4038.2,6,109686
23,2026-07-28 16:55:00,4038.5,4038.5,4037.8,4037.8,27,25,14,10,27,-4,-4,-4,-4,-94,25,0,0,0,1.08,0,0,8,4038.0,8,109686
24,2026-07-28 16:56:00,4037.7,4037.7,4036.6,4037.2,57,44,43,8,57,-35,-35,-35,-35,-129,44,0,0,0,1.2955,0,0,11,4037.7,8,109686
25,2026-07-28 16:57:00,4037.0,4037.4,4037.0,4037.2,14,12,8,3,14,-5,-5,-5,-5,-134,12,0,0,0,1.1667,0,0,4,4037.2,8,109686
26,2026-07-28 16:58:00,4037.2,4037.5,4037.0,4037.0,17,16,6,11,17,5,5,5,5,-129,16,0,0,0,1.0625,0,0,5,4037.3,10,109686
27,2026-07-28 16:59:00,4037.6,4038.3,4037.0,4037.6,90,67,10,73,90,63,63,63,63,-66,67,0,0,0,1.3433,0,0,14,4038.0,24,109686
28,2026-07-28 17:00:00,4037.9,4039.0,4037.7,4038.4,36,34,23,7,36,-16,-16,-16,-16,-16,34,0,0,0,1.0588,0,0,12,4038.5,6,109686
29,2026-07-28 17:01:00,4038.3,4039.4,4038.3,4039.1,31,25,14,14,31,0,0,0,0,-16,25,0,0,0,1.24,0,0,10,4039.0,9,109686
30,2026-07-28 17:02:00,4038.7,4039.5,4037.6,4038.2,59,54,21,33,59,12,12,12,12,-4,54,0,0,0,1.0926,0,0,17,4039.4,11,109686
31,2026-07-28 17:03:00,4037.9,4039.0,4037.7,4037.8,69,59,32,20,69,-12,-12,-12,-12,-16,59,0,0,0,1.1695,0,0,14,4037.9,14,109686
32,2026-07-28 17:04:00,4038.0,4040.4,4038.0,4040.0,77,74,9,64,77,55,55,55,55,39,74,0,0,0,1.0405,0,0,21,4040.0,32,109686
33,2026-07-28 17:05:00,4040.2,4041.5,4039.8,4040.6,68,60,36,29,68,-7,-7,-7,-7,32,60,0,0,0,1.1333,0,0,15,4041.0,14,109686
