ngay_gio,nhanh,huong,entry,SL,risk_gia,TP,RR,VSA,climax,co_vung,grade,tp_vuong_vung,KQ,ket_thuc_luc,chi_tiet
2026-05-26 09:44,CBR,SHORT,4545.8,4548.8,3.0,4533.8,4,2.48,tim,0,B,-,LOSS,2026-05-26 09:45,"phá 4548.3 · hồi 96% · leg 2.5giá · VSA 2.5x tím"
2026-05-26 11:25,CBR,SHORT,4558.0,4561.0,3.0,4546.0,4,2.41,tim,1,B,-,WIN,2026-05-26 11:35,"phá 4560.8 · hồi 77% · leg 2.2giá · VSA 2.4x tím"
2026-05-26 17:58,CBR,SHORT,4523.6,4527.2,3.6,4509.2,4,2.30,tim,0,B,-,LOSS,2026-05-26 18:26,"phá 4527.6 · hồi 83% · leg 3.6giá · VSA 2.3x tím"
2026-05-27 10:44,CBR,SHORT,4496.2,4500.6,4.4,4478.6,4,4.14,tim,0,B,-,WIN,2026-05-27 10:46,"phá 4502.0 · hồi 84% · leg 9.7giá · VSA 4.1x tím"
2026-05-29 09:50,CBR,LONG,4569.6,4565.4,4.2,4586.4,4,2.85,tim,1,B,-,LOSS,2026-05-29 09:52,"phá 4563.9 · hồi 65% · leg 4.9giá · VSA 2.8x tím"
2026-06-02 13:59,CBR,SHORT,4532.1,4535.4,3.3,4518.9,4,2.06,-,0,B,0.3R,LOSS,2026-06-02 14:00,"phá 4535.9 · hồi 79% · leg 3.4giá · VSA 2.1x · TP vướng vùng ↧0.3R"
2026-06-02 23:13,CBR,SHORT,4505.5,4509.2,3.7,4490.7,4,4.99,tim,0,B,1.2R,WIN,2026-06-02 23:28,"phá 4509.6 · hồi 89% · leg 5.7giá · VSA 5.0x tím · TP vướng vùng ↧1.2R"
2026-06-03 09:34,CBR,SHORT,4470.3,4473.4,3.1,4457.9,4,4.73,tim,0,B,-,LOSS,2026-06-03 09:37,"phá 4473.9 · hồi 90% · leg 6.7giá · VSA 4.7x tím"
2026-06-04 11:38,CBR,LONG,4513.1,4509.8,3.3,4526.3,4,3.51,tim,1,B,0.9R,WIN,2026-06-04 11:46,"phá 4509.8 · hồi 98% · leg 10.7giá · VSA 3.5x tím · TP vướng vùng ↧0.9R"
2026-06-04 16:15,CBR,LONG,4508.4,4505.4,3.0,4520.4,4,3.71,tim,1,B,1.1R,LOSS,2026-06-04 17:12,"phá 4506.4 · hồi 89% · leg 5.4giá · VSA 3.7x tím · TP vướng vùng ↧1.1R"
