bar_idx,datetime,price,bid_vol,ask_vol,volume,delta,trades,buy_trades,sell_trades,max_one_trade
0,2026-06-30 16:30:00,4100.6,0,0,1,0,1,0,0,0
0,2026-06-30 16:30:00,4101.0,0,0,1,0,1,0,0,0
0,2026-06-30 16:30:00,4102.0,1,0,1,-1,1,0,0,0
0,2026-06-30 16:30:00,4102.2,1,0,1,-1,1,0,0,0
0,2026-06-30 16:30:00,4103.6,1,0,1,-1,1,0,0,0
0,2026-06-30 16:30:00,4103.8,1,0,1,-1,1,0,0,0
0,2026-06-30 16:30:00,4104.1,0,0,1,0,1,0,0,0
0,2026-06-30 16:30:00,4104.2,1,1,2,0,2,0,0,0
0,2026-06-30 16:30:00,4104.9,0,0,1,0,1,0,0,0
0,2026-06-30 16:30:00,4105.0,0,0,1,0,1,0,0,0
0,2026-06-30 16:30:00,4105.3,0,0,1,0,1,0,0,0
0,2026-06-30 16:30:00,4105.4,0,1,1,1,1,0,0,0
0,2026-06-30 16:30:00,4105.5,0,0,1,0,1,0,0,0
0,2026-06-30 16:30:00,4105.6,0,0,2,0,2,0,0,0
0,2026-06-30 16:30:00,4105.7,0,1,2,1,2,0,0,0
0,2026-06-30 16:30:00,4105.8,1,0,3,-1,3,0,0,0
0,2026-06-30 16:30:00,4106.0,0,0,1,0,1,0,0,0
0,2026-06-30 16:30:00,4106.1,0,0,1,0,1,0,0,0
0,2026-06-30 16:30:00,4106.3,0,1,1,1,1,0,0,0
0,2026-06-30 16:30:00,4106.7,0,0,2,0,2,0,0,0
0,2026-06-30 16:30:00,4107.2,0,0,1,0,1,0,0,0
0,2026-06-30 16:30:00,4107.5,0,0,1,0,1,0,0,0
0,2026-06-30 16:30:00,4107.8,0,1,1,1,1,0,0,0
1,2026-06-30 17:00:00,4094.8,1,0,1,-1,1,0,0,0
1,2026-06-30 17:00:00,4095.0,1,0,1,-1,1,0,0,0
1,2026-06-30 17:00:00,4095.2,0,0,1,0,1,0,0,0
1,2026-06-30 17:00:00,4095.4,0,1,1,1,1,0,0,0
1,2026-06-30 17:00:00,4095.6,0,0,1,0,1,0,0,0
1,2026-06-30 17:00:00,4095.7,1,0,1,-1,1,0,0,0
1,2026-06-30 17:00:00,4095.8,0,0,1,0,1,0,0,0
1,2026-06-30 17:00:00,4096.0,0,0,1,0,1,0,0,0
1,2026-06-30 17:00:00,4096.1,0,1,2,1,2,0,0,0
1,2026-06-30 17:00:00,4096.8,0,0,1,0,1,0,0,0
1,2026-06-30 17:00:00,4096.9,0,1,2,1,2,0,0,0
1,2026-06-30 17:00:00,4097.0,0,0,1,0,1,0,0,0
1,2026-06-30 17:00:00,4097.1,0,0,1,0,1,0,0,0
1,2026-06-30 17:00:00,4097.3,1,0,2,-1,2,0,0,0
1,2026-06-30 17:00:00,4097.4,1,0,1,-1,1,0,0,0
1,2026-06-30 17:00:00,4097.5,1,0,1,-1,1,0,0,0
1,2026-06-30 17:00:00,4097.6,1,1,3,0,3,0,0,0
1,2026-06-30 17:00:00,4097.7,2,0,2,-2,2,0,0,0
1,2026-06-30 17:00:00,4097.8,2,0,9,-2,9,0,0,0
1,2026-06-30 17:00:00,4097.9,1,0,5,-1,5,0,0,0
1,2026-06-30 17:00:00,4098.0,2,1,10,-1,9,0,0,0
1,2026-06-30 17:00:00,4098.1,3,1,9,-2,9,0,0,0
1,2026-06-30 17:00:00,4098.2,2,0,4,-2,4,0,0,0
1,2026-06-30 17:00:00,4098.3,0,0,8,0,8,0,0,0
1,2026-06-30 17:00:00,4098.4,0,1,3,1,3,0,0,0
1,2026-06-30 17:00:00,4098.5,3,0,7,-3,7,0,0,0
1,2026-06-30 17:00:00,4098.6,2,1,9,-1,8,0,0,0
1,2026-06-30 17:00:00,4098.7,3,1,5,-2,5,0,0,0
1,2026-06-30 17:00:00,4098.8,3,0,5,-3,5,0,0,0
1,2026-06-30 17:00:00,4098.9,1,1,4,0,4,0,0,0
1,2026-06-30 17:00:00,4099.0,0,1,2,1,2,0,0,0
1,2026-06-30 17:00:00,4099.1,0,3,7,3,5,0,0,0
1,2026-06-30 17:00:00,4099.2,0,1,3,1,3,0,0,0
1,2026-06-30 17:00:00,4099.3,1,1,3,0,3,0,0,0
1,2026-06-30 17:00:00,4099.4,0,1,3,1,3,0,0,0
1,2026-06-30 17:00:00,4099.5,1,1,11,0,11,0,0,0
1,2026-06-30 17:00:00,4099.6,1,1,3,0,3,0,0,0
1,2026-06-30 17:00:00,4099.7,0,3,4,3,4,0,0,0
1,2026-06-30 17:00:00,4099.8,0,4,4,4,4,0,0,0
1,2026-06-30 17:00:00,4099.9,0,2,3,2,3,0,0,0
1,2026-06-30 17:00:00,4100.0,0,0,2,0,2,0,0,0
1,2026-06-30 17:00:00,4100.2,0,1,3,1,3,0,0,0
1,2026-06-30 17:00:00,4100.3,0,0,1,0,1,0,0,0
1,2026-06-30 17:00:00,4100.6,0,0,1,0,1,0,0,0
1,2026-06-30 17:00:00,4100.7,1,0,2,-1,2,0,0,0
1,2026-06-30 17:00:00,4100.8,0,0,1,0,1,0,0,0
1,2026-06-30 17:00:00,4101.1,0,0,1,0,1,0,0,0
1,2026-06-30 17:00:00,4101.2,0,0,1,0,1,0,0,0
1,2026-06-30 17:00:00,4101.3,1,1,2,0,2,0,0,0
1,2026-06-30 17:00:00,4101.6,0,0,1,0,1,0,0,0
