bar_idx,datetime,open,high,low,close,bar_volume,bar_ticks,bid_vol,ask_vol,volume,delta,delta_finish,max_delta,min_delta,cum_delta,trades,buy_trades,sell_trades,max_one_trade,avg_size,avg_buy_size,avg_sell_size,levels,poc_price,poc_volume,open_interest
0,2026-06-30 16:30:00,4105.0,4107.8,4100.6,4100.6,29,29,6,5,29,-1,-1,-1,-1,-1,29,0,0,0,1,0,0,23,4105.8,3,48797
1,2026-06-30 17:00:00,4101.3,4102.6,4094.8,4099.9,164,160,37,31,164,-6,-6,-6,-6,-6,160,0,0,0,1.025,0,0,54,4099.5,11,48797
2,2026-06-30 17:30:00,4099.9,4105.9,4099.9,4105.9,35,34,5,10,35,5,5,5,5,-1,34,0,0,0,1.0294,0,0,24,4101.1,3,48797
3,2026-06-30 18:00:00,4107.5,4108.0,4105.2,4106.3,19,14,6,5,19,-1,-1,-1,-1,-2,14,0,0,0,1.3571,0,0,8,4106.3,6,48797
4,2026-06-30 18:30:00,4104.5,4106.0,4103.0,4106.0,19,12,2,3,19,1,1,1,1,-1,12,0,0,0,1.5833,0,0,9,4105.9,9,48797
5,2026-06-30 19:00:00,4103.6,4103.6,4095.7,4095.7,13,12,6,4,13,-2,-2,-2,-2,-3,12,0,0,0,1.0833,0,0,11,4100.3,2,48797
6,2026-06-30 19:30:00,4097.3,4097.9,4089.4,4090.8,32,31,7,14,32,7,7,7,7,4,31,0,0,0,1.0323,0,0,21,4090.3,4,48797
7,2026-06-30 20:00:00,4089.9,4095.4,4087.4,4088.4,30,30,4,6,30,2,2,2,2,6,30,0,0,0,1,0,0,23,4089.0,3,48797
8,2026-06-30 20:30:00,4087.0,4087.0,4081.1,4082.1,17,15,7,6,17,-1,-1,-1,-1,5,15,0,0,0,1.1333,0,0,12,4082.0,2,48797
9,2026-06-30 22:00:00,4087.5,4089.1,4085.3,4085.6,25,21,4,12,25,8,8,8,8,13,21,0,0,0,1.1905,0,0,13,4085.9,4,48797
10,2026-06-30 22:30:00,4088.6,4088.6,4085.1,4085.2,8,7,3,2,8,-1,-1,-1,-1,12,7,0,0,0,1.1429,0,0,7,4086.3,2,48797
11,2026-06-30 23:00:00,4085.0,4091.5,4085.0,4086.9,10,10,1,2,10,1,1,1,1,13,10,0,0,0,1,0,0,10,4085.0,1,48797
12,2026-06-30 23:30:00,4084.8,4084.8,4078.0,4078.3,31,31,12,4,31,-8,-8,-8,-8,5,31,0,0,0,1,0,0,23,4079.3,3,48797
13,2026-07-01 00:00:00,4079.0,4079.1,4073.7,4075.2,25,25,5,8,25,3,3,3,3,8,25,0,0,0,1,0,0,22,4074.2,2,51559
14,2026-07-01 00:30:00,4075.8,4076.6,4066.7,4069.6,32,29,13,11,32,-2,-2,-2,-2,6,29,0,0,0,1.1034,0,0,20,4068.8,5,51559
15,2026-07-01 01:00:00,4070.2,4071.8,4050.0,4057.4,85,78,23,25,85,2,2,2,2,8,78,0,0,0,1.0897,0,0,59,4058.5,6,51559
16,2026-07-01 01:30:00,4060.6,4060.6,4046.9,4047.9,19,19,3,2,19,-1,-1,-1,-1,7,19,0,0,0,1,0,0,18,4051.2,2,51559
17,2026-07-01 02:00:00,4050.7,4054.8,4042.6,4054.8,21,21,5,6,21,1,1,1,1,8,21,0,0,0,1,0,0,19,4043.7,2,51559
18,2026-07-01 02:30:00,4051.8,4057.2,4051.0,4051.0,12,12,2,5,12,3,3,3,3,11,12,0,0,0,1,0,0,12,4051.0,1,51559
19,2026-07-01 03:00:00,4051.9,4058.0,4051.9,4052.6,15,15,8,2,15,-6,-6,-6,-6,5,15,0,0,0,1,0,0,14,4056.4,2,51559
20,2026-07-01 03:30:00,4053.0,4054.4,4049.4,4049.4,10,10,5,2,10,-3,-3,-3,-3,2,10,0,0,0,1,0,0,10,4049.4,1,51559
21,2026-07-01 04:00:00,4048.1,4048.1,4047.6,4047.6,2,2,2,0,2,-2,-2,-2,-2,0,2,0,0,0,1,0,0,2,4047.6,1,51559
22,2026-07-01 04:30:00,4046.6,4053.4,4046.6,4052.5,10,10,0,5,10,5,5,5,5,5,10,0,0,0,1,0,0,10,4046.6,1,51559
23,2026-07-01 05:00:00,4045.3,4046.9,4042.3,4046.9,6,6,3,1,6,-2,-2,-2,-2,3,6,0,0,0,1,0,0,6,4042.3,1,51559
24,2026-07-01 05:30:00,4045.4,4049.3,4042.5,4046.7,13,13,4,6,13,2,2,2,2,5,13,0,0,0,1,0,0,11,4046.7,2,51559
25,2026-07-01 06:00:00,4047.8,4047.8,4035.6,4040.0,65,56,32,12,65,-20,-20,-20,-20,-15,56,0,0,0,1.1607,0,0,40,4037.5,8,51559
26,2026-07-01 06:30:00,4038.9,4045.3,4035.9,4044.1,24,24,7,10,24,3,3,3,3,-12,24,0,0,0,1,0,0,21,4038.2,3,51559
27,2026-07-01 07:00:00,4044.6,4044.6,4033.0,4039.8,35,34,7,7,35,0,0,0,0,-12,34,0,0,0,1.0294,0,0,28,4034.0,3,51559
28,2026-07-01 07:30:00,4036.4,4047.9,4034.7,4047.5,36,34,9,6,36,-3,-3,-3,-3,-15,34,0,0,0,1.0588,0,0,28,4039.4,4,51559
29,2026-07-01 08:00:00,4043.9,4055.6,4041.7,4052.2,25,22,4,6,25,2,2,2,2,-13,22,0,0,0,1.1364,0,0,15,4054.6,7,51559
30,2026-07-01 08:30:00,4046.7,4051.0,4044.3,4044.3,24,18,7,10,24,3,3,3,3,-10,18,0,0,0,1.3333,0,0,13,4049.7,9,51559
31,2026-07-01 09:00:00,4046.4,4052.5,4045.2,4050.3,159,76,32,13,159,-19,-19,-19,-19,-29,76,0,0,0,2.0921,0,0,31,4046.0,31,51559
32,2026-07-01 09:30:00,4051.8,4058.0,4050.5,4057.7,275,115,51,25,275,-26,-26,-26,-26,-55,115,0,0,0,2.3913,0,0,32,4057.7,41,51559
33,2026-07-01 10:00:00,4057.9,4062.2,4056.0,4056.0,41,17,9,4,41,-5,-5,-5,-5,-60,17,0,0,0,2.4118,0,0,10,4057.9,11,51559
34,2026-07-01 10:30:00,4060.3,4071.3,4059.9,4071.3,23,14,1,9,23,8,8,8,8,-52,14,0,0,0,1.6429,0,0,12,4065.7,7,51559
35,2026-07-01 11:00:00,4074.8,4102.3,4074.8,4100.0,75,67,17,22,75,5,5,5,5,-47,67,0,0,0,1.1194,0,0,56,4076.1,5,51559
36,2026-07-01 11:30:00,4100.8,4108.8,4097.6,4104.1,70,60,11,22,70,11,11,11,11,-36,60,0,0,0,1.1667,0,0,38,4100.0,5,51559
37,2026-07-01 12:00:00,4106.4,4106.7,4094.6,4100.0,62,55,14,8,62,-6,-6,-6,-6,-42,55,0,0,0,1.1273,0,0,42,4100.0,12,51559
38,2026-07-01 12:30:00,4104.5,4104.5,4097.2,4099.0,49,39,12,19,49,7,7,7,7,-35,39,0,0,0,1.2564,0,0,28,4100.3,5,51559
39,2026-07-01 13:00:00,4094.2,4120.4,4087.9,4120.2,142,136,30,46,142,16,16,16,16,-19,136,0,0,0,1.0441,0,0,96,4090.0,5,51559
40,2026-07-01 13:30:00,4121.5,4182.4,4116.1,4162.2,336,304,80,111,336,31,31,31,31,12,304,0,0,0,1.1053,0,0,211,4162.6,14,51559
41,2026-07-01 14:00:00,4167.4,4181.7,4159.6,4174.9,174,159,36,60,174,24,24,24,24,36,159,0,0,0,1.0943,0,0,92,4180.2,9,51390
42,2026-07-01 14:30:00,4176.5,4190.4,4162.6,4167.3,216,161,39,60,216,21,21,21,21,57,161,0,0,0,1.3416,0,0,106,4187.0,30,51390
43,2026-07-01 15:00:00,4168.3,4168.3,4153.9,4158.3,81,73,25,23,81,-2,-2,-2,-2,55,73,0,0,0,1.1096,0,0,53,4157.5,11,51390
44,2026-07-01 15:30:00,4152.9,4161.0,4152.4,4156.1,37,37,9,12,37,3,3,3,3,58,37,0,0,0,1,0,0,31,4154.8,3,51390
45,2026-07-01 16:00:00,4159.7,4161.4,4157.3,4158.4,43,37,2,31,43,29,29,29,29,87,37,0,0,0,1.1622,0,0,27,4157.7,5,51390
46,2026-07-01 16:30:00,4157.8,4157.8,4145.1,4145.4,55,48,13,14,55,1,1,1,1,88,48,0,0,0,1.1458,0,0,36,4150.1,5,51390
47,2026-07-01 17:00:00,4145.2,4146.0,4141.9,4142.6,98,91,30,20,98,-10,-10,-10,-10,-10,91,0,0,0,1.0769,0,0,24,4142.5,14,51390
48,2026-07-01 17:30:00,4142.6,4146.5,4141.6,4141.6,19,16,2,7,19,5,5,5,5,-5,16,0,0,0,1.1875,0,0,14,4142.6,3,51390
49,2026-07-01 18:00:00,4143.2,4144.0,4137.3,4137.3,15,12,7,2,15,-5,-5,-5,-5,-10,12,0,0,0,1.25,0,0,9,4138.0,4,51390
50,2026-07-01 18:30:00,4137.4,4139.9,4131.9,4135.8,36,33,10,16,36,6,6,6,6,-4,33,0,0,0,1.0909,0,0,27,4133.4,3,51390
51,2026-07-01 19:00:00,4137.8,4141.3,4131.4,4132.7,25,21,5,7,25,2,2,2,2,-2,21,0,0,0,1.1905,0,0,19,4136.1,6,51390
52,2026-07-01 19:30:00,4129.7,4130.8,4109.9,4112.6,108,88,36,35,108,-1,-1,-1,-1,-3,88,0,0,0,1.2273,0,0,62,4122.0,10,51390
53,2026-07-01 20:00:00,4112.9,4112.9,4102.6,4112.1,44,39,10,11,44,1,1,1,1,-2,39,0,0,0,1.1282,0,0,32,4109.2,4,51390
54,2026-07-01 20:30:00,4106.9,4108.8,4105.6,4105.6,4,4,0,0,4,0,0,0,0,-2,4,0,0,0,1,0,0,4,4105.6,1,51390
55,2026-07-01 22:00:00,4111.0,4111.3,4108.5,4110.1,16,15,6,6,16,0,0,0,0,-2,15,0,0,0,1.0667,0,0,12,4109.1,4,51390
56,2026-07-01 22:30:00,4109.2,4116.8,4109.2,4116.8,22,15,10,5,22,-5,-5,-5,-5,-7,15,0,0,0,1.4667,0,0,14,4109.4,5,51390
57,2026-07-01 23:00:00,4115.1,4115.5,4106.3,4106.3,28,19,9,11,28,2,2,2,2,-5,19,0,0,0,1.4737,0,0,17,4108.1,4,51390
58,2026-07-01 23:30:00,4112.3,4112.6,4105.4,4106.8,6,6,1,0,6,-1,-1,-1,-1,-6,6,0,0,0,1,0,0,6,4105.4,1,51390
59,2026-07-02 00:00:00,4106.4,4118.3,4106.0,4118.3,13,13,4,3,13,-1,-1,-1,-1,-7,13,0,0,0,1,0,0,12,4109.3,2,51390
60,2026-07-02 00:30:00,4116.2,4125.0,4112.0,4123.2,40,31,6,10,40,4,4,4,4,-3,31,0,0,0,1.2903,0,0,21,4123.1,17,55400
61,2026-07-02 01:00:00,4123.3,4140.7,4123.3,4124.3,53,50,16,10,53,-6,-6,-6,-6,-9,50,0,0,0,1.06,0,0,40,4132.5,3,55400
62,2026-07-02 01:30:00,4118.1,4124.7,4117.6,4124.7,4,4,1,0,4,-1,-1,-1,-1,-10,4,0,0,0,1,0,0,4,4117.6,1,55400
63,2026-07-02 02:00:00,4119.2,4126.1,4115.1,4126.1,7,7,2,2,7,0,0,0,0,-10,7,0,0,0,1,0,0,7,4115.1,1,55400
64,2026-07-02 02:30:00,4120.9,4131.5,4120.9,4129.1,9,9,2,5,9,3,3,3,3,-7,9,0,0,0,1,0,0,9,4120.9,1,55400
65,2026-07-02 03:00:00,4129.1,4139.0,4129.1,4137.9,15,14,10,2,15,-8,-8,-8,-8,-15,14,0,0,0,1.0714,0,0,9,4133.6,6,55400
66,2026-07-02 03:30:00,4137.8,4144.7,4135.5,4144.3,23,22,6,12,23,6,6,6,6,-9,22,0,0,0,1.0455,0,0,16,4140.0,5,55400
67,2026-07-02 04:00:00,4144.3,4144.3,4137.3,4137.6,11,11,3,3,11,0,0,0,0,-9,11,0,0,0,1,0,0,10,4137.6,2,55400
68,2026-07-02 04:30:00,4137.4,4137.4,4133.3,4133.3,9,8,3,3,9,0,0,0,0,-9,8,0,0,0,1.125,0,0,8,4137.4,2,55400
69,2026-07-02 05:00:00,4129.8,4134.0,4127.7,4131.1,33,17,17,11,33,-6,-6,-6,-6,-15,17,0,0,0,1.9412,0,0,12,4131.5,15,55400
70,2026-07-02 05:30:00,4129.9,4139.4,4127.6,4139.4,24,24,8,9,24,1,1,1,1,-14,24,0,0,0,1,0,0,21,4137.0,2,55400
71,2026-07-02 06:00:00,4138.7,4153.0,4138.7,4148.5,125,96,19,60,125,41,41,41,41,27,96,0,0,0,1.3021,0,0,61,4152.0,31,55400
72,2026-07-02 06:30:00,4148.0,4149.5,4139.2,4148.5,29,28,9,10,29,1,1,1,1,28,28,0,0,0,1.0357,0,0,23,4148.8,4,55400
73,2026-07-02 07:00:00,4143.6,4146.3,4134.4,4135.8,32,27,7,6,32,-1,-1,-1,-1,27,27,0,0,0,1.1852,0,0,16,4136.0,8,55400
74,2026-07-02 07:30:00,4133.9,4147.8,4133.9,4136.9,15,14,5,3,15,-2,-2,-2,-2,25,14,0,0,0,1.0714,0,0,14,4147.7,2,55400
75,2026-07-02 08:00:00,4136.7,4148.7,4135.3,4147.6,23,22,4,5,23,1,1,1,1,26,22,0,0,0,1.0455,0,0,20,4143.7,2,55400
