bar_idx,datetime,price,bid_vol,ask_vol,volume,delta,trades,buy_trades,sell_trades,max_one_trade
0,2026-07-20 09:10:00,4080.0,1,0,1,-1,1,0,0,0
0,2026-07-20 09:10:00,4080.2,1,0,1,-1,1,0,0,0
1,2026-07-20 09:13:00,4081.7,0,0,1,0,1,0,0,0
2,2026-07-20 09:16:00,4081.9,0,0,1,0,1,0,0,0
3,2026-07-20 09:17:00,4082.7,0,0,1,0,1,0,0,0
4,2026-07-20 09:19:00,4080.6,0,0,1,0,1,0,0,0
5,2026-07-20 09:20:00,4080.8,0,1,1,1,1,0,0,0
6,2026-07-20 09:22:00,4080.9,0,0,1,0,1,0,0,0
7,2026-07-20 09:24:00,4081.4,0,0,1,0,1,0,0,0
8,2026-07-20 09:27:00,4079.2,0,0,1,0,1,0,0,0
9,2026-07-20 09:30:00,4076.4,0,0,1,0,1,0,0,0
9,2026-07-20 09:30:00,4076.5,0,1,1,1,1,0,0,0
9,2026-07-20 09:30:00,4076.7,0,0,1,0,1,0,0,0
9,2026-07-20 09:30:00,4076.9,0,0,1,0,1,0,0,0
9,2026-07-20 09:30:00,4077.1,0,0,1,0,1,0,0,0
9,2026-07-20 09:30:00,4077.6,0,1,1,1,1,0,0,0
9,2026-07-20 09:30:00,4077.7,0,2,2,2,2,0,0,0
10,2026-07-20 09:31:00,4076.0,0,0,1,0,1,0,0,0
11,2026-07-20 09:33:00,4079.4,0,0,1,0,1,0,0,0
12,2026-07-20 09:34:00,4079.1,0,0,1,0,1,0,0,0
13,2026-07-20 09:36:00,4081.1,0,0,1,0,1,0,0,0
13,2026-07-20 09:36:00,4081.6,0,0,1,0,1,0,0,0
14,2026-07-20 09:37:00,4080.2,0,1,1,1,1,0,0,0
15,2026-07-20 09:43:00,4081.8,0,0,1,0,1,0,0,0
15,2026-07-20 09:43:00,4082.0,0,0,1,0,1,0,0,0
16,2026-07-20 09:45:00,4080.2,0,0,1,0,1,0,0,0
17,2026-07-20 09:47:00,4081.3,0,1,1,1,1,0,0,0
18,2026-07-20 09:49:00,4083.0,0,0,4,0,2,0,0,0
18,2026-07-20 09:49:00,4083.2,1,0,1,-1,1,0,0,0
18,2026-07-20 09:49:00,4083.6,0,0,1,0,1,0,0,0
19,2026-07-20 09:53:00,4082.7,0,0,1,0,1,0,0,0
20,2026-07-20 09:58:00,4081.4,0,0,1,0,1,0,0,0
21,2026-07-20 10:00:00,4081.2,0,0,1,0,1,0,0,0
21,2026-07-20 10:00:00,4081.4,0,0,1,0,1,0,0,0
22,2026-07-20 10:03:00,4080.8,0,0,1,0,1,0,0,0
23,2026-07-20 10:08:00,4081.4,0,0,1,0,1,0,0,0
24,2026-07-20 10:10:00,4081.1,1,0,1,-1,1,0,0,0
24,2026-07-20 10:10:00,4081.4,0,0,1,0,1,0,0,0
24,2026-07-20 10:10:00,4081.7,0,1,1,1,1,0,0,0
25,2026-07-20 10:13:00,4082.3,0,0,1,0,1,0,0,0
26,2026-07-20 10:15:00,4081.0,0,0,15,0,6,0,0,0
26,2026-07-20 10:15:00,4081.8,0,1,1,1,1,0,0,0
27,2026-07-20 10:16:00,4082.4,0,0,1,0,1,0,0,0
27,2026-07-20 10:16:00,4082.6,0,0,1,0,1,0,0,0
28,2026-07-20 10:19:00,4080.8,0,0,1,0,1,0,0,0
29,2026-07-20 10:22:00,4083.8,0,0,1,0,1,0,0,0
29,2026-07-20 10:22:00,4083.9,0,1,1,1,1,0,0,0
30,2026-07-20 10:23:00,4083.7,1,0,1,-1,1,0,0,0
31,2026-07-20 10:25:00,4083.6,0,0,1,0,1,0,0,0
32,2026-07-20 10:26:00,4083.2,4,2,11,-2,4,0,0,0
32,2026-07-20 10:26:00,4083.3,1,0,1,-1,1,0,0,0
32,2026-07-20 10:26:00,4083.7,0,1,1,1,1,0,0,0
32,2026-07-20 10:26:00,4083.9,0,1,1,1,1,0,0,0
33,2026-07-20 10:31:00,4083.0,0,0,1,0,1,0,0,0
33,2026-07-20 10:31:00,4083.9,0,0,1,0,1,0,0,0
34,2026-07-20 10:35:00,4084.4,0,1,1,1,1,0,0,0
35,2026-07-20 10:36:00,4083.5,0,0,1,0,1,0,0,0
36,2026-07-20 10:42:00,4083.5,0,0,1,0,1,0,0,0
36,2026-07-20 10:42:00,4084.1,0,0,1,0,1,0,0,0
37,2026-07-20 10:46:00,4084.2,0,0,1,0,1,0,0,0
38,2026-07-20 10:50:00,4082.8,0,1,1,1,1,0,0,0
39,2026-07-20 10:52:00,4084.7,0,0,1,0,1,0,0,0
40,2026-07-20 10:53:00,4084.9,0,0,1,0,1,0,0,0
41,2026-07-20 10:55:00,4086.0,0,0,1,0,1,0,0,0
42,2026-07-20 11:00:00,4085.2,0,0,1,0,1,0,0,0
42,2026-07-20 11:00:00,4085.6,0,0,1,0,1,0,0,0
42,2026-07-20 11:00:00,4086.3,0,0,1,0,1,0,0,0
43,2026-07-20 11:01:00,4086.8,0,0,1,0,1,0,0,0
43,2026-07-20 11:01:00,4087.0,1,0,1,-1,1,0,0,0
43,2026-07-20 11:01:00,4087.1,1,2,3,1,2,0,0,0
43,2026-07-20 11:01:00,4087.2,0,3,3,3,1,0,0,0
43,2026-07-20 11:01:00,4087.3,0,3,10,3,3,0,0,0
44,2026-07-20 11:02:00,4087.4,0,2,11,2,4,0,0,0
44,2026-07-20 11:02:00,4087.5,0,3,3,3,1,0,0,0
44,2026-07-20 11:02:00,4087.6,0,2,2,2,1,0,0,0
44,2026-07-20 11:02:00,4087.7,0,4,4,4,1,0,0,0
44,2026-07-20 11:02:00,4087.9,1,3,5,2,3,0,0,0
45,2026-07-20 11:03:00,4085.3,0,0,1,0,1,0,0,0
45,2026-07-20 11:03:00,4085.8,0,7,7,7,1,0,0,0
45,2026-07-20 11:03:00,4086.0,0,1,1,1,1,0,0,0
46,2026-07-20 11:05:00,4086.3,0,1,3,1,3,0,0,0
46,2026-07-20 11:05:00,4086.6,1,0,1,-1,1,0,0,0
46,2026-07-20 11:05:00,4086.7,1,0,1,-1,1,0,0,0
46,2026-07-20 11:05:00,4087.3,0,1,1,1,1,0,0,0
47,2026-07-20 11:06:00,4086.0,8,8,16,0,2,0,0,0
48,2026-07-20 11:11:00,4083.3,0,0,1,0,1,0,0,0
48,2026-07-20 11:11:00,4083.4,0,0,1,0,1,0,0,0
49,2026-07-20 11:12:00,4083.3,0,1,1,1,1,0,0,0
50,2026-07-20 11:13:00,4082.1,1,0,1,-1,1,0,0,0
50,2026-07-20 11:13:00,4082.3,0,0,10,0,4,0,0,0
50,2026-07-20 11:13:00,4082.7,2,0,2,-2,2,0,0,0
50,2026-07-20 11:13:00,4082.8,0,0,1,0,1,0,0,0
50,2026-07-20 11:13:00,4083.3,0,0,1,0,1,0,0,0
50,2026-07-20 11:13:00,4083.4,0,2,2,2,2,0,0,0
51,2026-07-20 11:15:00,4084.3,2,3,5,1,3,0,0,0
51,2026-07-20 11:15:00,4084.8,0,0,1,0,1,0,0,0
51,2026-07-20 11:15:00,4084.9,0,0,1,0,1,0,0,0
52,2026-07-20 11:16:00,4084.5,0,1,1,1,1,0,0,0
53,2026-07-20 11:17:00,4083.5,0,0,1,0,1,0,0,0
54,2026-07-20 11:20:00,4084.1,0,0,1,0,1,0,0,0
55,2026-07-20 11:24:00,4082.9,0,0,1,0,1,0,0,0
55,2026-07-20 11:24:00,4083.0,0,0,2,0,1,0,0,0
55,2026-07-20 11:24:00,4083.1,0,0,1,0,1,0,0,0
56,2026-07-20 11:25:00,4082.2,1,0,8,-1,4,0,0,0
56,2026-07-20 11:25:00,4082.7,0,0,1,0,1,0,0,0
57,2026-07-20 11:26:00,4081.3,1,0,1,-1,1,0,0,0
57,2026-07-20 11:26:00,4082.7,0,2,2,2,1,0,0,0
57,2026-07-20 11:26:00,4082.8,0,2,2,2,2,0,0,0
58,2026-07-20 11:30:00,4083.3,0,0,2,0,2,0,0,0
58,2026-07-20 11:30:00,4085.1,0,0,1,0,1,0,0,0
58,2026-07-20 11:30:00,4091.0,0,4,4,4,4,0,0,0
58,2026-07-20 11:30:00,4091.9,0,0,1,0,1,0,0,0
58,2026-07-20 11:30:00,4092.0,0,1,2,1,2,0,0,0
58,2026-07-20 11:30:00,4092.3,0,0,1,0,1,0,0,0
58,2026-07-20 11:30:00,4092.7,0,3,3,3,3,0,0,0
58,2026-07-20 11:30:00,4092.8,0,1,1,1,1,0,0,0
58,2026-07-20 11:30:00,4093.2,0,0,1,0,1,0,0,0
58,2026-07-20 11:30:00,4093.6,0,0,1,0,1,0,0,0
58,2026-07-20 11:30:00,4093.9,1,0,1,-1,1,0,0,0
58,2026-07-20 11:30:00,4094.4,0,0,1,0,1,0,0,0
58,2026-07-20 11:30:00,4094.7,0,0,1,0,1,0,0,0
58,2026-07-20 11:30:00,4096.0,0,0,1,0,1,0,0,0
58,2026-07-20 11:30:00,4096.4,2,0,2,-2,2,0,0,0
58,2026-07-20 11:30:00,4096.7,0,0,1,0,1,0,0,0
58,2026-07-20 11:30:00,4097.1,0,0,1,0,1,0,0,0
58,2026-07-20 11:30:00,4097.4,0,2,2,2,1,0,0,0
58,2026-07-20 11:30:00,4097.5,1,0,1,-1,1,0,0,0
