bar_idx,datetime,open,high,low,close,bar_volume,bar_ticks,bid_vol,ask_vol,volume,delta,delta_finish,max_delta,min_delta,cum_delta,trades,buy_trades,sell_trades,max_one_trade,avg_size,avg_buy_size,avg_sell_size,levels,poc_price,poc_volume,open_interest
0,2026-07-27 00:00:00,4155.6,4162.0,4155.6,4161.0,19,17,2,13,19,11,11,11,11,11,17,0,0,0,1.1176,0,0,15,4157.0,3,177073
1,2026-07-27 00:01:00,4162.6,4164.9,4162.6,4164.9,3,3,0,0,3,0,0,0,0,11,3,0,0,0,1,0,0,3,4162.6,1,177073
2,2026-07-27 00:02:00,4165.1,4165.6,4165.1,4165.4,4,4,1,2,4,1,1,1,1,12,4,0,0,0,1,0,0,3,4165.1,2,177073
3,2026-07-27 00:03:00,4164.9,4165.7,4164.2,4164.2,5,5,1,2,5,1,1,1,1,13,5,0,0,0,1,0,0,5,4164.2,1,177073
4,2026-07-27 00:04:00,4162.8,4163.4,4162.8,4163.4,13,10,4,9,13,5,5,5,5,18,10,0,0,0,1.3,0,0,6,4163.3,5,177073
5,2026-07-27 00:06:00,4162.0,4162.0,4162.0,4162.0,1,1,1,0,1,-1,-1,-1,-1,17,1,0,0,0,1,0,0,1,4162.0,1,177073
6,2026-07-27 00:09:00,4163.2,4169.6,4163.2,4169.6,146,55,20,81,146,61,61,61,61,78,55,0,0,0,2.6545,0,0,23,4168.6,68,177073
7,2026-07-27 00:10:00,4170.1,4171.5,4169.0,4171.5,16,11,2,13,16,11,11,11,11,89,11,0,0,0,1.4545,0,0,7,4170.1,8,177073
8,2026-07-27 00:11:00,4171.4,4175.2,4171.4,4175.2,110,36,0,107,110,107,107,107,107,196,36,0,0,0,3.0556,0,0,22,4175.2,36,177073
9,2026-07-27 00:12:00,4175.6,4178.2,4175.6,4177.0,125,50,16,84,125,68,68,68,68,264,50,0,0,0,2.5,0,0,22,4177.2,46,177073
10,2026-07-27 00:13:00,4177.0,4178.3,4177.0,4177.5,18,13,6,11,18,5,5,5,5,269,13,0,0,0,1.3846,0,0,10,4177.0,5,177073
11,2026-07-27 00:14:00,4177.8,4178.5,4177.1,4178.0,73,23,9,16,73,7,7,7,7,276,23,0,0,0,3.1739,0,0,10,4177.5,50,177073
12,2026-07-27 00:15:00,4177.0,4177.0,4175.6,4175.6,4,4,2,0,4,-2,-2,-2,-2,274,4,0,0,0,1,0,0,4,4175.6,1,177073
13,2026-07-27 00:16:00,4174.6,4175.7,4172.7,4172.7,9,9,0,5,9,5,5,5,5,279,9,0,0,0,1,0,0,7,4172.7,2,177073
14,2026-07-27 00:17:00,4172.8,4174.3,4172.8,4174.0,4,4,0,2,4,2,2,2,2,281,4,0,0,0,1,0,0,4,4172.8,1,177073
