bar_idx,datetime,price,bid_vol,ask_vol,volume,delta,trades,buy_trades,sell_trades,max_one_trade
0,2026-07-03 01:26:00,4262.1,1,0,1,-1,1,0,0,0
0,2026-07-03 01:26:00,4262.5,0,0,1,0,1,0,0,0
1,2026-07-03 01:27:00,4261.3,0,0,1,0,1,0,0,0
1,2026-07-03 01:27:00,4262.0,0,0,1,0,1,0,0,0
1,2026-07-03 01:27:00,4262.2,1,0,1,-1,1,0,0,0
1,2026-07-03 01:27:00,4263.0,0,1,1,1,1,0,0,0
2,2026-07-03 01:28:00,4262.0,0,0,1,0,1,0,0,0
3,2026-07-03 01:30:00,4258.1,0,0,1,0,1,0,0,0
3,2026-07-03 01:30:00,4260.6,0,0,1,0,1,0,0,0
3,2026-07-03 01:30:00,4262.0,0,0,1,0,1,0,0,0
4,2026-07-03 01:31:00,4261.3,0,0,1,0,1,0,0,0
4,2026-07-03 01:31:00,4261.6,1,0,1,-1,1,0,0,0
5,2026-07-03 01:32:00,4265.1,6,0,6,-6,2,0,0,0
5,2026-07-03 01:32:00,4265.5,0,0,1,0,1,0,0,0
6,2026-07-03 01:33:00,4265.3,1,0,1,-1,1,0,0,0
7,2026-07-03 01:34:00,4264.9,0,0,1,0,1,0,0,0
8,2026-07-03 01:35:00,4267.3,0,0,1,0,1,0,0,0
8,2026-07-03 01:35:00,4268.6,0,0,1,0,1,0,0,0
8,2026-07-03 01:35:00,4269.6,0,1,1,1,1,0,0,0
8,2026-07-03 01:35:00,4269.7,0,3,3,3,2,0,0,0
8,2026-07-03 01:35:00,4269.8,0,4,4,4,1,0,0,0
8,2026-07-03 01:35:00,4269.9,1,5,10,4,5,0,0,0
9,2026-07-03 01:37:00,4261.6,1,0,1,-1,1,0,0,0
9,2026-07-03 01:37:00,4262.1,1,0,1,-1,1,0,0,0
9,2026-07-03 01:37:00,4262.3,0,0,1,0,1,0,0,0
10,2026-07-03 01:38:00,4259.0,0,0,1,0,1,0,0,0
10,2026-07-03 01:38:00,4259.5,0,0,1,0,1,0,0,0
11,2026-07-03 01:39:00,4259.0,0,0,1,0,1,0,0,0
11,2026-07-03 01:39:00,4259.1,0,0,1,0,1,0,0,0
