ngay_gio,kich_ban,huong,entry,SL,risk_gia,TP1,TP2,RR,VSA,climax,hop_luu,grade,KQ,ket_thuc_luc,chi_tiet
2026-07-17 13:50,CHAM_DAO,LONG,4051.2,4047.7,3.5,4061.7,4061.7,3,2.31,tim,2,B,WIN,2026-07-17 14:20,"thân mạnh · Δ+16 · VSA 2.3x tím · climax"
2026-07-29 16:55,CHAM_DAO,LONG,4087.9,4083.6,4.3,4100.8,4100.8,3,4.63,tim,2,A,WIN,2026-07-29 17:12,"thân mạnh · Δ+104 · VSA 4.6x tím"
2026-07-29 22:41,CHAM_DAO,LONG,4134.5,4131.0,3.5,4145.0,4145.0,3,2.44,tim,2,B,WIN,2026-07-29 22:55,"rút râu dưới · Δ+3 · VSA 2.4x tím · climax"
2026-07-30 04:44,CHAM_DAO,SHORT,4105.6,4109.1,3.5,4095.1,4095.1,3,1.66,-,2,A,WIN,2026-07-30 05:18,"rút râu trên · Δ-9 · VSA 1.7x"
2026-07-30 09:30,CHAM_DAO,SHORT,4123.2,4126.7,3.5,4112.7,4112.7,3,2.52,tim,2,A,LOSS,2026-07-30 09:37,"thân mạnh · Δ-104 · VSA 2.5x tím"
2026-07-31 07:30,CHAM_DAO,LONG,4129.9,4126.4,3.5,4140.4,4140.4,3,2.86,tim,2,B,LOSS,2026-07-31 07:36,"rút râu dưới · Δ+51 · VSA 2.9x tím · climax"
2026-07-31 13:34,CHAM_DAO,SHORT,4091.9,4095.6,3.7,4080.8,4080.8,3,2.71,tim,2,B,WIN,2026-07-31 13:42,"rút râu trên · Δ-310 · VSA 2.7x tím · climax"
2026-07-31 17:29,CHAM_DAO,SHORT,4106.6,4110.1,3.5,4096.1,4096.1,3,8.94,tim,3,B,LOSS,2026-07-31 17:46,"rút râu trên · Δ-95 · VSA 8.9x tím · climax"
2026-07-31 18:41,CHAM_DAO,SHORT,4106.7,4110.2,3.5,4096.2,4096.2,3,2.37,tim,3,B,LOSS,2026-07-31 19:44,"rút râu trên · Δ-16 · VSA 2.4x tím · climax"
2026-07-31 19:34,CHAM_DAO,SHORT,4106.2,4109.7,3.5,4095.7,4095.7,3,4.36,tim,3,B,LOSS,2026-07-31 19:44,"rút râu trên · Δ-16 · VSA 4.4x tím · climax"
2026-07-31 20:33,CHAM_DAO,SHORT,4106.6,4110.1,3.5,4096.1,4096.1,3,3.52,tim,3,B,open,2026-07-31 20:59,"rút râu trên · Δ-4 · VSA 3.5x tím · climax"
