ngay_gio,nhanh,huong,entry,SL,risk_gia,TP,RR,VSA,climax,co_vung,grade,tp_vuong_vung,KQ,ket_thuc_luc,chi_tiet
2026-07-27 19:29,CBR,SHORT,4148.3,4151.3,3.0,4136.3,4,0.81,-,0,B,1.4R,WIN,2026-07-27 20:56,"mép 4158.876 · hồi 43% · leg 16.1giá · VSA vào 0.8x · VSA phá 7.1x · TP vướng vùng ↧1.4R"
2026-07-30 14:19,QUAY_DAU,SHORT,4107.1,4110.894,3.8,4101.409,1.5,1.89,-,2,A,0.4R,WIN,2026-07-30 14:28,"đảo chiều vùng 4109.494 · rút râu trên · VSA 1.9x · hợp lưu ×2 · TP vướng vùng ↧0.4R"
2026-07-31 10:39,QUAY_DAU,SHORT,4136.6,4138.3,1.7,4134.05,1.5,3.57,tim,0,B,0.9R,WIN,2026-07-31 10:41,"đảo chiều vùng 4136.9 · rút râu trên · VSA 3.6x tím · hấp thụ ✓ · TP vướng vùng ↧0.9R"
2026-07-31 15:03,CBR,SHORT,4121.8,4124.8,3.0,4109.8,4,1.27,-,2,A,0.1R,WIN,2026-07-31 16:23,"mép 4124.78 · hồi 69% · leg 2.2giá · VSA vào 1.3x · VSA phá 2.5x · hợp lưu ×2 · TP vướng vùng ↧0.1R"
2026-07-31 15:26,CBR,SHORT,4116.2,4119.2,3.0,4104.2,4,1.72,-,0,B,3.6R,LOSS,2026-07-31 15:48,"mép 4119.1 · hồi 79% · leg 2.9giá · VSA vào 1.7x · VSA phá 2.4x · TP vướng vùng ↧3.6R"
2026-07-31 15:41,CBR,SHORT,4115.2,4118.6,3.4,4101.6,4,1.13,-,1,B,2.9R,LOSS,2026-07-31 15:47,"mép 4124.726 · hồi 55% · leg 13.9giá · VSA vào 1.1x · VSA phá 3.0x · TP vướng vùng ↧2.9R"
2026-07-31 19:08,CBR,SHORT,4113.7,4116.7,3.0,4101.7,4,1.70,-,0,B,0.4R,WIN,2026-07-31 19:30,"mép 4119.1 · hồi 64% · leg 10.3giá · VSA vào 1.7x · VSA phá 2.5x · TP vướng vùng ↧0.4R"
2026-07-31 22:11,CBR,SHORT,4099.8,4105.8,6.0,4075.8,4,1.06,-,0,B,1.0R,LOSS,2026-07-31 22:15,"mép 4106.5 · hồi 84% · leg 5.7giá · VSA vào 1.1x · VSA phá 2.5x · TP vướng vùng ↧1.0R"
2026-08-03 19:49,CBR,SHORT,4099.7,4102.7,3.0,4087.7,4,1.27,-,0,B,2.1R,LOSS,2026-08-03 19:56,"mép 4106.5 · hồi 51% · leg 8.4giá · VSA vào 1.3x · VSA phá 2.9x · TP vướng vùng ↧2.1R"
2026-08-03 20:13,CBR,SHORT,4096.2,4102.0,5.8,4073.0,4,2.21,tim,0,B,0.5R,LOSS,2026-08-04 02:00,"mép 4106.5 · hồi 53% · leg 10.1giá · VSA vào 2.2x tím · VSA phá 2.4x · TP vướng vùng ↧0.5R"
