ngay_gio,nhanh,huong,entry,SL,risk_gia,TP,RR,VSA,climax,co_vung,grade,tp_vuong_vung,KQ,ket_thuc_luc,chi_tiet
2026-07-28 13:55,QUAY_DAU,SHORT,4110.4,4111.8,1.4,4108.3,1.5,3.14,tim,0,B,-,WIN,2026-07-28 13:58,"đảo chiều VWAP 4110.568 · rút râu trên · VSA 3.1x tím · hấp thụ ✓"
2026-07-28 20:47,CBR,SHORT,4081.9,4085.2,3.3,4068.7,4,0.84,-,0,B,1.7R,LOSS,2026-07-28 20:49,"phá 4087.0 · hồi 72% · leg 7.2giá · VSA vào 0.8x · VSA phá 2.3x · TP vướng vùng ↧1.7R"
2026-07-29 11:00,QUAY_DAU,SHORT,4081.1,4083.3,2.2,4077.8,1.5,1.87,-,0,B,-,LOSS,2026-07-29 11:25,"đảo chiều VWAP 4082.175 · rút râu trên · VSA 1.9x"
2026-07-29 19:19,CBR,SHORT,4077.4,4082.2,4.8,4058.2,4,2.67,tim,1,B,0.1R,LOSS,2026-07-29 19:56,"phá 4084.6 · hồi 61% · leg 6.7giá · VSA vào 2.7x tím · VSA phá 5.4x · TP vướng vùng ↧0.1R"
2026-07-30 06:58,QUAY_DAU,LONG,4143.5,4141.24,2.3,4146.891,1.5,2.45,tim,0,B,0.7R,LOSS,2026-07-30 07:01,"đảo chiều VWAP 4141.44 · rút râu dưới · VSA 2.5x tím · hấp thụ ✓ · TP vướng vùng ↧0.7R"
2026-07-31 02:25,CBR,LONG,4171.8,4167.8,4.0,4187.8,4,2.81,tim,0,B,1.3R,LOSS,2026-07-31 03:31,"phá 4168.0 · hồi 100% · leg 4.1giá · VSA vào 2.8x tím · VSA phá 2.6x · TP vướng vùng ↧1.3R"
2026-08-10 08:03,QUAY_DAU,SHORT,4393.9,4400.2,6.3,4384.45,1.5,2.79,tim,1,B,0.1R,WIN,2026-08-10 08:05,"đảo chiều VWAP 4398.811 · rút râu trên · VSA 2.8x tím · hấp thụ ✓ · TP vướng vùng ↧0.1R"
2026-08-11 07:02,QUAY_DAU,LONG,4457.7,4455.8,1.9,4460.55,1.5,4.51,tim,0,B,-,WIN,2026-08-11 07:03,"đảo chiều VWAP 4456.672 · rút râu dưới · VSA 4.5x tím · hấp thụ ✓"
2026-08-12 08:50,CBR,LONG,4456.2,4453.2,3.0,4468.2,4,1.62,-,1,B,0.1R,LOSS,2026-08-12 08:56,"phá 4453.9 · hồi 79% · leg 1.9giá · VSA vào 1.6x · VSA phá 2.3x · TP vướng vùng ↧0.1R"
2026-08-12 16:22,CBR,LONG,4477.2,4472.7,4.5,4495.2,4,1.64,-,0,B,0.8R,LOSS,2026-08-12 16:29,"phá 4472.7 · hồi 96% · leg 4.7giá · VSA vào 1.6x · VSA phá 3.3x · TP vướng vùng ↧0.8R"
2026-08-12 22:51,QUAY_DAU,LONG,4472.2,4470.0,2.2,4475.5,1.5,2.31,tim,0,B,0.4R,WIN,2026-08-12 22:53,"đảo chiều VWAP 4470.559 · rút râu dưới · VSA 2.3x tím · hấp thụ ✓ · TP vướng vùng ↧0.4R"
2026-08-12 23:35,QUAY_DAU,LONG,4474.4,4470.723,3.7,4479.915,1.5,3.20,tim,1,B,0.2R,LOSS,2026-08-12 23:43,"đảo chiều VWAP 4470.923 · rút râu dưới · VSA 3.2x tím · hấp thụ ✓ · TP vướng vùng ↧0.2R"
2026-08-14 19:02,CBR,LONG,4429.9,4426.7,3.2,4442.7,4,1.46,-,0,B,0.3R,LOSS,2026-08-14 19:11,"phá 4426.0 · hồi 74% · leg 3.5giá · VSA vào 1.5x · VSA phá 3.6x · TP vướng vùng ↧0.3R"
2026-08-14 20:34,CBR,LONG,4448.5,4444.6,3.9,4464.1,4,1.08,-,0,B,0.8R,LOSS,2026-08-14 20:47,"phá 4443.9 · hồi 77% · leg 4.0giá · VSA vào 1.1x · VSA phá 3.6x · TP vướng vùng ↧0.8R"
2026-08-17 18:33,CBR,LONG,4460.4,4457.4,3.0,4472.4,4,1.35,-,0,B,2.1R,LOSS,2026-08-17 18:43,"phá 4458.7 · hồi 93% · leg 2.8giá · VSA vào 1.3x · VSA phá 2.4x · TP vướng vùng ↧2.1R"
