# FILE 2/5 — nhung lenh v5 CBR bat ma v7 KHONG bat ("lenh sot" cua v7).
# Thong ke ca nhom: n=89 WR=22.5% tong=-9.0R EV=-0.101  <= v7 loai nhom nay la DUNG (EV am).
# BAY: trong nhom co lenh WIN. Chi ra chung khi DA BIET ket qua la con so AO.
# Chi ghi nhan neu ban tim duoc DAU HIEU NHAN DIEN TRUOC KHI VAO LENH.
# ⚠ Cot CHAM_1_5 / LOI_GI / CO_CHE_NGHI_NGO / GHI_CHU de TRONG cho ban dien.
# ⚠ QUY TAC VANG: tim CO CHE lap lai duoc, KHONG phai "le nay dang le thang". Moi quy tac rut ra tu day chi la GIA THUYET, phai kiem tren du lieu thang 8 moi duoc sua cau hinh dong bang.
stt,ngay_gio,gio_VN,ban,kich_ban,huong,entry,SL,TP,RR,KQ,R,giu_bao_lau,VSA,climax,hop_luu,grade,gia_pha,retrace_%,leg_gia,tp_vuong_vung,ket_thuc_luc,chi_tiet,CHAM_1_5,LOI_GI,CO_CHE_NGHI_NGO,GHI_CHU
1,2026-05-26 12:30,19:30,v5-RunnerSignal,CBR,SHORT,4536.3,4539.4,4527.0,3.0,LOSS,-1.0,,3.01,tim,1,B,4541.3,51%,4.3,,,phá 4541.3 · hồi 51% · leg 4.3giá · VSA 3.0x tím,,,,
2,2026-05-26 17:34,00:34,v5-RunnerSignal,CBR,SHORT,4533.1,4536.1,4524.1,3.0,WIN,+3.0,,8.54,tim,0,B,4537.2,61%,6.2,,,phá 4537.2 · hồi 61% · leg 6.2giá · VSA 8.5x tím,,,,
3,2026-05-27 05:23,12:23,v5-RunnerSignal,CBR,SHORT,4537.2,4540.2,4528.2,3.0,LOSS,-1.0,,2.30,tim,0,B,4540.9,54%,4.8,1.5R,,phá 4540.9 · hồi 54% · leg 4.8giá · VSA 2.3x tím · TP vướng vùng ↧1.5R,,,,
4,2026-05-27 05:41,12:41,v5-RunnerSignal,CBR,SHORT,4527.5,4533.1,4510.7,3.0,LOSS,-1.0,,2.24,tim,1,B,4536.7,66%,11.1,2.6R,,phá 4536.7 · hồi 66% · leg 11.1giá · VSA 2.2x tím · TP vướng vùng ↧2.6R,,,,
5,2026-05-27 06:21,13:21,v5-RunnerSignal,CBR,SHORT,4516.5,4522.6,4498.2,3.0,LOSS,-1.0,,4.23,tim,0,B,4524.3,69%,6.2,0.6R,,phá 4524.3 · hồi 69% · leg 6.2giá · VSA 4.2x tím · TP vướng vùng ↧0.6R,,,,
6,2026-05-27 10:23,17:23,v5-RunnerSignal,CBR,SHORT,4509.7,4512.9,4500.1,3.0,WIN,+3.0,,2.72,tim,0,B,4513.6,75%,3.6,,,phá 4513.6 · hồi 75% · leg 3.6giá · VSA 2.7x tím,,,,
7,2026-05-28 01:21,08:21,v5-RunnerSignal,CBR,SHORT,4460.8,4465.8,4445.8,3.0,WIN,+3.0,,2.30,tim,0,B,4471.0,40%,9.0,0.8R,,phá 4471.0 · hồi 40% · leg 9.0giá · VSA 2.3x tím · TP vướng vùng ↧0.8R,,,,
8,2026-05-28 10:53,17:53,v5-RunnerSignal,CBR,SHORT,4409.3,4414.1,4394.9,3.0,LOSS,-1.0,,3.66,tim,0,B,4424.1,45%,18.6,1.9R,,phá 4424.1 · hồi 45% · leg 18.6giá · VSA 3.7x tím · TP vướng vùng ↧1.9R,,,,
9,2026-05-28 16:23,23:23,v5-RunnerSignal,CBR,LONG,4528.2,4525.0,4537.8,3.0,WIN,+3.0,,2.59,tim,1,B,4517.7,41%,12.8,0.7R,,phá 4517.7 · hồi 41% · leg 12.8giá · VSA 2.6x tím · TP vướng vùng ↧0.7R,,,,
10,2026-05-29 05:59,12:59,v5-RunnerSignal,CBR,LONG,4545.8,4541.5,4558.7,3.0,LOSS,-1.0,,2.95,tim,0,B,4539.5,71%,7.5,0.3R,,phá 4539.5 · hồi 71% · leg 7.5giá · VSA 3.0x tím · TP vướng vùng ↧0.3R,,,,
11,2026-05-29 07:44,14:44,v5-RunnerSignal,CBR,LONG,4556.0,4550.7,4571.9,3.0,LOSS,-1.0,,3.46,tim,0,B,4545.5,49%,10.5,1.7R,,phá 4545.5 · hồi 49% · leg 10.5giá · VSA 3.5x tím · TP vướng vùng ↧1.7R,,,,
12,2026-05-29 10:45,17:45,v5-RunnerSignal,CBR,LONG,4570.9,4567.1,4582.3,3.0,LOSS,-1.0,,7.08,tim,0,B,4564.5,72%,9.9,,,phá 4564.5 · hồi 72% · leg 9.9giá · VSA 7.1x tím,,,,
13,2026-05-29 14:04,21:04,v5-RunnerSignal,CBR,LONG,4578.9,4573.7,4594.5,3.0,LOSS,-1.0,,3.51,tim,0,B,4571.0,68%,9.2,,,phá 4571.0 · hồi 68% · leg 9.2giá · VSA 3.5x tím,,,,
14,2026-05-29 16:37,23:37,v5-RunnerSignal,CBR,LONG,4602.5,4598.6,4614.2,3.0,LOSS,-1.0,,5.42,tim,0,B,4597.0,57%,4.2,,,phá 4597.0 · hồi 57% · leg 4.2giá · VSA 5.4x tím,,,,
