datetime,side,scenario,entry,SL,TP1(1.5R),risk_d,cluster,VSA,outcome,R
2026-06-29 11:29,LONG,KB1 pha&hoi,4079.7,4075.7,4085.7,4.0,2,1.2,SL,-1.0
2026-06-29 15:18,SHORT,KB2 cham&dao,4078.5,4082.5,4072.5,4.0,2,1.4,TP,+1.5
2026-06-30 20:10,SHORT,KB2 cham&dao,4036.9,4040.9,4030.9,4.0,2,1.4,SL,-1.0
2026-06-30 22:02,SHORT,KB1 pha&hoi,4050.6,4054.6,4044.6,4.0,2,2.7,TP,+1.5
2026-07-01 02:24,SHORT,KB2 cham&dao,4036.7,4040.7,4030.7,4.0,2,1.3,TP,+1.5
2026-07-01 18:50,SHORT,KB2 cham&dao,4047.8,4051.8,4041.8,4.0,2,1.8,TP,+1.5
2026-07-01 20:01,SHORT,KB1 pha&hoi,4036.4,4040.4,4030.4,4.0,2,1.3,TP,+1.5
2026-07-02 02:04,LONG,KB1 pha&hoi,4079.9,4075.9,4085.9,4.0,2,1.5,SL,-1.0
2026-07-02 05:22,LONG,KB1 pha&hoi,4049.2,4045.2,4055.2,4.0,2,1.7,TP,+1.5
2026-07-02 06:14,SHORT,KB1 pha&hoi,4049.6,4053.6,4043.6,4.0,2,1.7,TP,+1.5
2026-07-02 10:58,SHORT,KB2 cham&dao,4082.3,4086.3,4076.3,4.0,3,1.4,TP,+1.5
2026-07-02 12:57,LONG,KB1 pha&hoi,4079.5,4075.5,4085.5,4.0,2,1.9,TP,+1.5
2026-07-02 13:01,LONG,KB1 pha&hoi,4083.7,4079.7,4089.7,4.0,2,1.3,SL,-1.0
2026-07-02 15:05,LONG,KB2 cham&dao,4081.4,4077.4,4087.4,4.0,2,2.4,TP,+1.5
2026-07-02 16:57,LONG,KB2 cham&dao,4079.5,4075.5,4085.5,4.0,2,1.2,SL,-1.0
2026-07-02 18:45,LONG,KB1 pha&hoi,4083.6,4079.6,4089.6,4.0,2,2.2,SL,-1.0
2026-07-06 09:12,LONG,KB2 cham&dao,4192.4,4188.4,4198.4,4.0,2,1.3,TP,+1.5
2026-07-06 10:54,LONG,KB1 pha&hoi,4174.5,4170.5,4180.5,4.0,2,2.6,SL,-1.0
2026-07-06 11:31,SHORT,KB2 cham&dao,4172.4,4176.4,4166.4,4.0,2,1.6,TP,+1.5
2026-07-07 20:27,SHORT,KB2 cham&dao,4177.7,4181.7,4171.7,4.0,2,1.9,SL,-1.0
2026-07-07 22:45,SHORT,KB2 cham&dao,4157.1,4161.1,4151.1,4.0,2,1.7,TP,+1.5
2026-07-08 09:28,SHORT,KB2 cham&dao,4131.9,4135.9,4125.9,4.0,2,1.4,TP,+1.5
2026-07-08 11:43,LONG,KB2 cham&dao,4134.0,4130.0,4140.0,4.0,2,1.6,TP,+1.5
2026-07-08 12:22,LONG,KB2 cham&dao,4135.0,4131.0,4141.0,4.0,2,2.4,TP,+1.5
2026-07-08 14:00,LONG,KB2 cham&dao,4134.8,4130.8,4140.8,4.0,3,2.4,SL,-1.0
2026-07-09 08:00,LONG,KB1 pha&hoi,4084.3,4080.3,4090.3,4.0,2,4.7,SL,-1.0
2026-07-09 21:55,LONG,KB1 pha&hoi,4134.0,4130.0,4140.0,4.0,3,1.8,TP,+1.5
2026-07-09 23:32,LONG,KB1 pha&hoi,4147.8,4143.8,4153.8,4.0,3,3.6,SL,-1.0
2026-07-10 01:26,LONG,KB2 cham&dao,4134.0,4130.0,4140.0,4.0,3,1.3,SL,-1.0
2026-07-10 02:11,LONG,KB2 cham&dao,4133.9,4129.9,4139.9,4.0,3,1.4,SL,-1.0
2026-07-10 03:57,SHORT,KB2 cham&dao,4133.0,4137.0,4127.0,4.0,3,1.9,TP,+1.5
2026-07-10 05:28,SHORT,KB2 cham&dao,4131.9,4135.9,4125.9,4.0,3,1.4,TP,+1.5
2026-07-10 05:41,SHORT,KB2 cham&dao,4131.8,4135.8,4125.8,4.0,3,2.1,TP,+1.5
2026-07-10 07:00,SHORT,KB2 cham&dao,4129.9,4133.9,4123.9,4.0,3,8.1,SL,-1.0
2026-07-10 07:18,SHORT,KB1 pha&hoi,4130.0,4134.0,4124.0,4.0,2,1.8,TP,+1.5
2026-07-10 10:39,SHORT,KB2 cham&dao,4132.5,4136.5,4126.5,4.0,3,1.6,TP,+1.5
2026-07-10 13:24,SHORT,KB1 pha&hoi,4126.8,4130.8,4120.8,4.0,3,1.9,TP,+1.5
2026-07-10 14:55,SHORT,KB1 pha&hoi,4115.6,4119.6,4109.6,4.0,2,1.9,TP,+1.5
2026-07-10 16:04,SHORT,KB2 cham&dao,4107.2,4111.2,4101.2,4.0,2,1.2,SL,-1.0
2026-07-10 17:06,SHORT,KB1 pha&hoi,4115.5,4119.5,4109.5,4.0,2,1.6,SL,-1.0
2026-07-10 20:04,LONG,KB2 cham&dao,4109.3,4105.3,4115.3,4.0,2,1.2,TP,+1.5
2026-07-10 22:48,LONG,KB2 cham&dao,4118.6,4114.6,4124.6,4.0,2,1.5,TP,+1.5
2026-07-10 23:22,LONG,KB2 cham&dao,4117.8,4113.8,4123.8,4.0,2,1.4,TP,+1.5
2026-07-15 13:31,LONG,KB2 cham&dao,4031.4,4027.4,4037.4,4.0,4,1.3,TP,+1.5
2026-07-15 14:54,LONG,KB2 cham&dao,4031.5,4027.5,4037.5,4.0,3,1.8,SL,-1.0
