ngay_gio,huong,kich_ban,vung,hop_luu,pha_gia,pha_rau%,nen_hoi,retrace%,giu_vung,entry,VSA,than%,delta,cpos,SL,risk_gia,TP,KQ,R,MFE_R,MAE_R,nen_KQ,mo_ta
2026-06-29 15:18,SHORT,KB2 cham&dao,D-1 VAH 4080.0,2,,,,,,4078.5,1.40,6,-1,0.12,4082.5,4.0,4072.5,WIN,+1.5,16.62,0.62,24,rau tren;D-1;VSA1.4x;hapthu:D<0
2026-06-30 20:10,SHORT,KB2 cham&dao,POC MY 4038.0,2,,,,,,4036.9,1.44,3,-12,0.14,4040.9,4.0,4030.9,LOSS,-1.0,0.27,1.55,8,rau tren;D-12;VSA1.4x;hapthu:D<0
2026-06-30 22:02,SHORT,KB2 cham&dao,VAL AU 4052.2,2,,,,,,4050.6,2.71,2,-110,0.40,4054.6,4.0,4044.6,WIN,+1.5,8.15,0.60,15,rau tren;D-110;VSA2.7x(tim);hapthu:D<0
2026-07-01 02:24,SHORT,KB2 cham&dao,POC MY 4038.0,2,,,,,,4036.7,1.25,71,-23,0.29,4040.7,4.0,4030.7,WIN,+1.5,13.42,0.38,29,than manh;D-23;VSA1.3x;hapthu:D<0
2026-07-01 18:50,SHORT,KB2 cham&dao,VAH AU 4048.3,1,,,,,,4047.8,1.82,0,-12,0.06,4051.8,4.0,4041.8,WIN,+1.5,5.30,0.30,12,rau tren;D-12;VSA1.8x;hapthu:D<0
2026-07-01 20:01,SHORT,KB2 cham&dao,POC MY 4038.0,3,,,,,,4036.4,1.33,39,-3,0.41,4040.4,4.0,4030.4,WIN,+1.5,2.45,0.42,6,rau tren;D-3;VSA1.3x;hapthu:D<0
2026-07-02 02:04,LONG,KB2 cham&dao,POC AU 4077.6,3,,,,,,4079.9,1.53,57,+38,1.00,4075.9,4.0,4085.9,LOSS,-1.0,0.57,1.20,15,than manh;D+38;VSA1.5x;hapthu:D>0
2026-07-02 05:22,LONG,KB2 cham&dao,VAH AU 4048.3,2,,,,,,4049.2,1.72,6,+13,0.78,4045.2,4.0,4055.2,WIN,+1.5,2.00,0.05,25,rau duoi;D+13;VSA1.7x;hapthu:D>0
2026-07-02 06:14,SHORT,KB1 pha&hoi,VWAP 4051.7,2,1.3,19,1,77,GIU,4049.6,1.72,70,-31,0.05,4053.6,4.0,4043.6,WIN,+1.5,1.70,0.83,49,than manh;D-31;VSA1.7x
2026-07-02 10:58,SHORT,KB2 cham&dao,POC MY 4083.8,1,,,,,,4082.3,1.42,82,-24,0.00,4086.3,4.0,4076.3,WIN,+1.5,4.28,0.67,27,than manh;D-24;VSA1.4x;hapthu:D<0
