datetime,side,entry,zone,chan_pha_gia,retrace_%,xuyen_vung_tick,giu/bo,MFE_R,out@1.5R,out@3R
2026-06-29 11:29,LONG,4079.7,VAL MY 4079.5,1.3,131,4.0,BO,0.00,SL,SL
2026-06-30 22:02,SHORT,4050.6,VAL AU 4052.2,3.5,137,13.0,BO,15.98,TP,TP
2026-07-01 20:01,SHORT,4036.4,POC MY 4038.0,7.2,115,11.0,BO,2.45,TP,SL
2026-07-02 02:04,LONG,4079.9,POC AU 4077.6,2.4,92,-2.0,GIU,0.57,SL,SL
2026-07-02 05:22,LONG,4049.2,VWAP 4049.2,1.2,217,14.0,BO,2.00,TP,SL
2026-07-02 06:14,SHORT,4049.6,VWAP 4051.7,2.2,91,-2.0,GIU,1.70,TP,SL
2026-07-02 12:57,LONG,4079.5,POC AU 4077.6,2.0,100,0.0,GIU,3.25,TP,TP
2026-07-02 13:01,LONG,4083.7,Dinh AU 4083.2,1.0,250,15.0,BO,1.10,SL,SL
2026-07-02 18:45,LONG,4083.6,Dinh AU 4083.2,1.3,169,9.0,BO,0.18,SL,SL
2026-07-06 10:54,LONG,4174.5,Day AU 4173.6,2.9,121,6.0,BO,1.03,SL,SL
2026-07-09 08:00,LONG,4084.3,D-1 POC 4082.0,6.1,123,14.0,BO,0.97,SL,SL
2026-07-09 21:55,LONG,4134.0,VAH A 4132.8,2.3,96,-1.0,GIU,3.60,TP,TP
2026-07-09 23:32,LONG,4147.8,D-1 High 4144.7,3.7,103,1.0,BO,0.08,SL,SL
2026-07-10 07:18,SHORT,4130.0,VWAP 4132.3,2.3,126,6.0,BO,1.62,TP,SL
2026-07-10 13:24,SHORT,4126.8,VAL A 4127.2,4.7,109,4.0,BO,11.28,TP,TP
2026-07-10 14:55,SHORT,4115.6,D-1 POC 4117.0,4.0,142,17.0,BO,3.15,TP,TP
2026-07-10 17:06,SHORT,4115.5,D-1 POC 4117.0,5.0,104,2.0,BO,0.20,SL,SL
2026-07-15 22:15,SHORT,4050.3,VAL MY 4051.3,1.8,161,11.0,BO,1.10,SL,SL
2026-07-16 14:21,LONG,4031.1,VAH A 4030.2,4.6,98,-1.0,GIU,3.02,TP,TP
2026-07-16 14:40,LONG,4032.6,VAL A 4030.0,3.0,100,0.0,GIU,2.65,TP,SL
2026-07-16 14:45,LONG,4033.3,VAL A 4031.1,2.4,100,0.0,GIU,2.47,TP,SL
2026-07-16 16:02,LONG,4041.5,Dinh AU 4040.4,2.1,86,-3.0,GIU,0.42,SL,SL
2026-07-16 18:44,LONG,4040.6,D-1 POC 4040.0,1.7,153,9.0,BO,1.95,TP,SL
2026-07-21 00:39,SHORT,4014.1,VAL AU 4016.5,2.7,89,-3.0,GIU,1.60,TP,SL
2026-07-23 08:03,LONG,4136.1,POC A 4133.0,9.7,98,-2.0,GIU,1.97,TP,SL
2026-07-23 18:20,LONG,4088.0,POC MY 4088.2,6.3,125,16.0,BO,0.55,SL,SL
