ngay_gio,huong,break_luc,vung_pha,span_range_gia,retrace%,entry,SL,risk_gia,bias_EMA,co_vung,KQ_3R,tran_R_24h
2026-06-26 16:23,LONG,16:19,4057.0,5.8,77,4062.6,4058.4,4.2,+1,-,LOSS,1.7
2026-06-26 18:14,SHORT,18:12,4066.1,3.9,78,4062.7,4065.9,3.2,+1,-,LOSS,0.4
2026-06-26 18:49,SHORT,18:39,4064.9,6.6,65,4060.9,4063.9,3.0,+1,-,LOSS,1.1
2026-06-26 22:41,LONG,22:37,4103.9,7.3,56,4110.2,4106.1,4.1,+1,-,LOSS,0.1
2026-06-27 02:07,SHORT,01:59,4083.1,3.1,50,4079.8,4082.8,3.0,-1,-,LOSS,0.1
2026-06-29 15:49,SHORT,15:41,4074.8,5.9,45,4069.3,4072.3,3.0,-1,-,WIN,38.0
2026-06-29 17:02,SHORT,16:50,4051.3,7.1,74,4044.4,4048.1,3.7,-1,-,LOSS,0.8
2026-06-29 19:07,LONG,19:02,4056.7,5.1,68,4061.7,4058.3,3.4,+1,-,LOSS,1.6
2026-06-29 20:25,SHORT,20:21,4060.3,3.7,72,4056.0,4059.7,3.7,+1,-,WIN,27.2
2026-06-29 23:49,LONG,23:47,4036.7,2.7,63,4040.5,4037.5,3.0,-1,-,LOSS,2.1
2026-06-30 01:33,SHORT,01:28,4037.2,2.7,59,4035.0,4038.0,3.0,-1,-,WIN,26.5
2026-06-30 02:00,SHORT,01:55,4030.0,3.6,56,4026.9,4029.9,3.0,-1,-,LOSS,2.6
2026-06-30 02:17,SHORT,02:13,4023.9,2.5,74,4021.1,4024.1,3.0,-1,-,LOSS,0.6
2026-06-30 07:36,SHORT,07:31,4017.7,4.9,57,4013.8,4016.8,3.0,-1,-,WIN,19.5
2026-06-30 13:26,LONG,13:22,4001.6,4.2,42,4014.3,4010.4,3.9,+1,-,WIN,16.4
2026-06-30 15:11,SHORT,15:08,4045.6,6.2,31,4039.1,4042.1,3.0,+1,-,WIN,4.4
2026-06-30 19:20,SHORT,19:10,4042.2,5.2,65,4038.0,4041.1,3.1,+0,co,WIN,5.1
2026-06-30 21:14,LONG,21:09,4046.9,7.4,74,4058.0,4051.4,6.6,+1,-,WIN,3.0
2026-07-01 00:08,SHORT,23:58,4042.0,4.5,45,4036.3,4039.9,3.6,-1,-,LOSS,0.4
2026-07-01 02:59,SHORT,02:50,4034.5,2.8,76,4030.2,4033.4,3.2,-1,-,LOSS,0.6
2026-07-01 05:50,SHORT,05:47,4027.0,5.0,85,4025.1,4028.1,3.0,-1,-,LOSS,0.3
2026-07-01 07:45,SHORT,07:41,4013.2,5.5,52,4009.0,4012.0,3.0,-1,-,LOSS,1.0
2026-07-01 08:08,SHORT,08:02,4006.0,7.2,65,3998.0,4003.3,5.3,-1,-,WIN,4.7
2026-07-01 09:15,LONG,09:13,3987.8,4.8,55,3991.1,3988.1,3.0,-1,-,LOSS,2.9
2026-07-01 13:12,SHORT,13:05,3985.9,6.1,53,3978.6,3981.9,3.3,-1,-,LOSS,0.8
2026-07-01 14:05,SHORT,14:02,3982.8,3.9,35,3978.0,3981.0,3.0,-1,-,LOSS,1.7
2026-07-01 18:00,LONG,17:57,4010.2,7.4,67,4015.1,4010.6,4.5,+1,-,WIN,25.8
2026-07-01 19:11,SHORT,19:03,4040.7,7.1,55,4035.2,4038.5,3.3,+1,-,LOSS,0.6
2026-07-01 23:34,SHORT,23:31,4095.0,3.7,63,4090.6,4093.9,3.3,+0,-,LOSS,0.0
2026-07-02 02:04,LONG,02:00,4076.3,5.0,59,4079.9,4076.9,3.0,-1,-,LOSS,0.8
2026-07-02 02:31,SHORT,02:19,4076.7,3.9,50,4072.0,4075.0,3.0,-1,-,WIN,10.0
2026-07-02 02:55,SHORT,02:51,4062.5,5.7,41,4053.6,4057.0,3.4,-1,-,WIN,3.4
2026-07-02 06:16,SHORT,06:13,4052.5,2.8,60,4049.5,4052.5,3.0,-1,-,LOSS,1.1
2026-07-02 07:10,LONG,07:05,4048.4,5.6,70,4054.7,4049.5,5.2,-1,-,WIN,26.4
2026-07-02 08:08,LONG,08:00,4064.9,4.1,52,4077.3,4072.2,5.1,+1,-,LOSS,0.5
2026-07-02 10:55,LONG,10:52,4081.4,6.4,29,4085.6,4082.6,3.0,+1,-,LOSS,0.2
2026-07-02 13:06,LONG,12:56,4077.1,4.9,68,4084.0,4080.4,3.6,+1,-,LOSS,0.5
2026-07-02 15:09,LONG,15:05,4079.3,5.7,38,4083.9,4080.7,3.2,-1,-,LOSS,2.7
2026-07-02 16:30,SHORT,16:24,4081.9,4.4,62,4078.3,4081.3,3.0,-1,-,LOSS,0.9
2026-07-02 18:48,LONG,18:43,4079.8,4.4,87,4083.5,4080.2,3.3,+1,co,LOSS,0.2
2026-07-02 23:27,SHORT,23:23,4133.6,3.4,73,4128.5,4132.5,4.0,-1,-,WIN,3.9
2026-07-03 01:33,LONG,01:30,4136.3,7.0,64,4139.5,4136.5,3.0,+1,-,LOSS,0.1
2026-07-03 07:54,LONG,07:51,4154.0,6.8,51,4159.8,4156.8,3.0,+1,-,WIN,18.6
2026-07-03 15:05,LONG,15:00,4191.9,4.3,53,4197.8,4194.3,3.5,+1,-,LOSS,0.2
2026-07-03 16:26,SHORT,16:23,4188.0,4.8,42,4184.5,4187.5,3.0,-1,-,LOSS,1.3
2026-07-03 23:56,LONG,23:53,4186.0,4.4,65,4188.3,4185.3,3.0,+1,-,WIN,3.8
2026-07-06 06:31,LONG,06:28,4203.5,2.9,55,4213.4,4208.1,5.3,+1,-,LOSS,0.0
2026-07-06 07:06,SHORT,07:01,4193.2,4.5,69,4184.6,4190.1,5.5,-1,-,LOSS,0.2
2026-07-06 16:34,SHORT,16:30,4153.4,7.1,78,4149.4,4152.5,3.1,-1,-,LOSS,0.2
2026-07-06 17:16,LONG,17:14,4159.2,4.5,67,4161.4,4158.4,3.0,-1,-,WIN,3.6
2026-07-06 19:27,SHORT,19:21,4165.0,4.8,47,4157.6,4161.5,3.9,-1,-,WIN,3.7
2026-07-06 22:06,LONG,22:04,4153.4,6.9,72,4156.8,4153.8,3.0,-1,-,LOSS,0.7
2026-07-06 23:57,LONG,23:50,4162.1,1.5,54,4167.5,4164.4,3.1,+1,-,LOSS,0.2
2026-07-07 07:42,SHORT,07:36,4167.4,7.1,34,4161.0,4164.0,3.0,-1,-,LOSS,0.6
2026-07-07 08:10,SHORT,07:59,4160.2,5.3,41,4150.8,4154.9,4.1,-1,-,LOSS,0.3
2026-07-07 10:45,SHORT,10:42,4143.0,3.2,48,4139.0,4142.0,3.0,-1,-,LOSS,1.3
2026-07-07 11:11,LONG,11:08,4146.0,4.3,38,4151.4,4148.4,3.0,-1,-,LOSS,0.3
2026-07-07 15:20,LONG,15:11,4143.3,4.6,67,4147.8,4144.8,3.0,+1,-,LOSS,1.0
2026-07-07 18:21,LONG,18:18,4148.0,4.9,52,4152.6,4149.6,3.0,+1,-,WIN,13.3
2026-07-07 18:48,LONG,18:44,4159.1,2.9,55,4162.9,4159.9,3.0,+1,-,LOSS,0.6
2026-07-07 19:12,LONG,19:06,4171.5,7.4,50,4181.8,4177.3,4.5,+1,-,LOSS,1.2
2026-07-07 22:17,SHORT,22:15,4159.3,7.4,63,4155.3,4158.3,3.0,-1,-,LOSS,0.9
2026-07-08 01:53,SHORT,01:48,4151.3,2.7,30,4137.2,4141.4,4.2,-1,-,LOSS,0.3
2026-07-08 06:45,SHORT,06:43,4110.6,4.1,78,4107.1,4110.2,3.1,-1,-,LOSS,0.2
2026-07-08 11:01,SHORT,10:56,4136.3,3.9,86,4133.5,4136.5,3.0,+1,co,LOSS,0.3
2026-07-08 18:38,SHORT,18:32,4058.2,3.9,42,4052.0,4056.2,4.2,-1,-,LOSS,0.0
2026-07-08 18:54,LONG,18:43,4058.2,6.7,56,4072.8,4069.0,3.8,+1,-,LOSS,0.5
2026-07-08 19:59,SHORT,19:56,4090.8,6.0,57,4082.9,4088.4,5.5,+1,-,LOSS,0.4
2026-07-09 07:14,LONG,07:12,4093.0,6.3,81,4096.8,4093.3,3.5,+1,-,LOSS,0.7
2026-07-09 07:25,SHORT,07:22,4091.8,7.3,42,4084.2,4088.2,4.0,+1,-,LOSS,0.1
2026-07-09 10:12,SHORT,10:09,4071.0,5.3,77,4066.8,4070.1,3.3,-1,-,LOSS,1.0
2026-07-09 15:27,LONG,15:21,4122.6,7.5,83,4124.6,4121.6,3.0,+1,-,LOSS,0.5
2026-07-09 17:51,SHORT,17:45,4112.2,2.4,46,4108.3,4111.3,3.0,-1,-,LOSS,1.8
2026-07-09 18:27,SHORT,18:23,4112.4,4.4,55,4108.6,4111.6,3.0,-1,-,LOSS,0.1
2026-07-09 18:46,LONG,18:39,4112.7,4.5,66,4116.6,4113.6,3.0,+0,-,WIN,10.6
2026-07-10 08:45,SHORT,08:38,4127.6,5.6,56,4119.0,4123.8,4.8,-1,-,LOSS,0.0
2026-07-10 09:10,LONG,09:08,4130.6,4.7,51,4135.8,4132.8,3.0,-1,-,LOSS,0.9
2026-07-10 14:47,SHORT,14:43,4118.7,4.1,49,4113.2,4116.6,3.4,-1,-,LOSS,0.1
2026-07-10 18:33,SHORT,18:27,4113.2,3.9,79,4108.8,4112.2,3.4,-1,-,LOSS,1.3
2026-07-10 23:52,SHORT,23:44,4120.2,3.4,50,4116.0,4119.0,3.0,+1,-,WIN,3.2
2026-07-11 03:55,LONG,03:53,4122.4,2.4,38,4128.4,4125.4,3.0,+1,-,LOSS,0.2
2026-07-13 09:04,SHORT,08:53,4090.6,6.2,50,4078.5,4083.1,4.6,-1,-,LOSS,1.3
2026-07-13 10:10,SHORT,10:04,4073.0,6.6,49,4067.1,4070.1,3.0,-1,-,LOSS,2.1
2026-07-13 15:05,LONG,14:58,4070.9,6.9,90,4075.2,4071.2,4.0,+1,-,WIN,3.5
2026-07-13 17:44,SHORT,17:41,4072.3,4.0,53,4060.7,4064.3,3.6,-1,-,LOSS,1.2
2026-07-13 20:42,SHORT,20:33,4068.5,5.1,76,4062.8,4066.5,3.7,-1,-,WIN,19.6
2026-07-14 07:32,LONG,07:28,3999.5,6.9,59,4006.6,4001.2,5.4,-1,-,LOSS,1.4
2026-07-14 08:06,SHORT,08:00,4009.7,4.4,70,4000.6,4006.6,6.0,+1,-,LOSS,0.3
2026-07-14 11:36,LONG,11:32,4025.7,4.8,62,4029.4,4026.4,3.0,+1,-,LOSS,0.1
2026-07-14 12:00,LONG,11:58,4026.4,4.0,80,4028.4,4025.4,3.0,+1,-,WIN,4.0
2026-07-14 14:08,LONG,14:05,4032.2,5.0,56,4034.7,4031.7,3.0,+0,-,LOSS,0.2
2026-07-14 23:07,SHORT,23:05,4068.9,6.1,89,4065.4,4068.8,3.4,-1,co,LOSS,0.0
2026-07-15 02:28,SHORT,02:23,4060.7,3.2,52,4058.5,4061.5,3.0,-1,co,LOSS,1.4
2026-07-15 08:48,SHORT,08:40,4051.4,6.4,69,4045.8,4048.8,3.0,-1,-,WIN,7.5
2026-07-15 12:59,LONG,12:56,4036.7,2.5,24,4040.9,4037.9,3.0,-1,-,LOSS,0.3
2026-07-15 19:32,LONG,19:30,4046.5,3.0,46,4059.2,4052.4,6.8,+1,-,WIN,3.2
2026-07-15 22:20,SHORT,22:12,4058.6,7.5,44,4047.8,4053.7,5.9,-1,-,LOSS,0.3
2026-07-15 23:17,SHORT,23:10,4048.2,4.3,82,4043.2,4047.6,4.4,-1,-,LOSS,2.3
2026-07-16 00:33,LONG,00:29,4046.7,4.5,31,4061.8,4055.4,6.4,+1,-,WIN,4.3
2026-07-16 09:16,SHORT,09:05,4041.2,5.2,36,4035.8,4038.8,3.0,-1,-,LOSS,0.3
2026-07-16 09:41,SHORT,09:38,4035.5,5.8,48,4030.8,4033.8,3.0,-1,co,LOSS,0.2
2026-07-16 19:10,SHORT,19:06,4041.5,7.2,76,4036.4,4040.8,4.4,+1,-,WIN,16.7
2026-07-16 22:20,LONG,22:17,4000.1,6.8,50,4004.0,4001.0,3.0,-1,-,WIN,5.9
2026-07-16 23:18,SHORT,23:12,3999.6,6.7,48,3991.6,3996.2,4.6,-1,-,LOSS,1.1
2026-07-17 08:54,SHORT,08:47,3991.6,7.1,36,3983.5,3986.7,3.2,+1,-,LOSS,0.3
2026-07-17 10:11,LONG,10:02,3984.0,3.7,44,3994.1,3991.0,3.1,+1,-,WIN,5.8
2026-07-17 15:16,SHORT,15:11,3999.8,4.0,74,3995.6,3998.8,3.2,+0,-,LOSS,0.8
2026-07-17 19:32,SHORT,19:20,3992.4,4.8,87,3986.3,3992.0,5.7,-1,-,WIN,4.1
2026-07-18 03:49,LONG,03:44,4016.3,2.5,50,4020.3,4017.3,3.0,+1,-,LOSS,0.9
2026-07-20 07:17,LONG,07:13,3996.6,6.2,82,4003.0,3997.6,5.4,-1,-,WIN,8.0
2026-07-20 08:09,LONG,07:59,4008.1,5.3,49,4021.3,4014.6,6.7,+1,-,LOSS,0.7
2026-07-20 09:35,LONG,09:32,4013.4,2.7,64,4017.6,4014.6,3.0,+1,-,LOSS,0.5
2026-07-20 13:32,SHORT,13:26,4011.0,2.9,66,4007.4,4010.4,3.0,-1,-,LOSS,0.1
2026-07-20 14:33,LONG,14:22,4009.0,2.4,64,4016.9,4011.5,5.4,-1,-,WIN,5.4
2026-07-20 16:29,SHORT,16:27,4022.6,2.5,52,4020.3,4023.3,3.0,+1,-,LOSS,0.5
2026-07-20 19:02,SHORT,19:00,4029.9,3.6,44,4019.7,4026.3,6.6,+1,-,LOSS,2.7
2026-07-21 00:49,SHORT,00:44,4012.7,3.9,63,4009.9,4012.9,3.0,-1,-,LOSS,0.7
2026-07-21 02:32,LONG,02:29,4014.9,3.2,79,4019.6,4016.2,3.4,+1,-,LOSS,0.1
2026-07-21 10:30,LONG,10:24,4044.9,3.6,63,4053.7,4049.2,4.5,+1,-,LOSS,0.0
2026-07-21 12:30,LONG,12:25,4056.5,3.7,66,4062.1,4058.0,4.1,+1,-,WIN,6.4
2026-07-21 12:46,LONG,12:40,4067.0,6.9,63,4072.2,4068.5,3.7,+1,-,LOSS,0.2
2026-07-21 13:22,LONG,13:11,4072.6,4.3,66,4077.0,4074.0,3.0,+1,-,WIN,3.8
2026-07-21 13:45,LONG,13:41,4080.5,4.2,83,4083.5,4080.5,3.0,+1,-,LOSS,1.6
2026-07-21 14:15,SHORT,14:05,4081.6,3.2,32,4075.6,4078.6,3.0,+1,-,LOSS,1.2
2026-07-21 14:41,LONG,14:33,4075.6,3.5,74,4078.4,4075.4,3.0,+1,-,LOSS,0.1
2026-07-21 16:53,LONG,16:51,4071.7,6.2,90,4073.6,4070.6,3.0,-1,-,LOSS,0.3
2026-07-21 18:03,SHORT,17:57,4067.4,3.6,72,4064.2,4067.2,3.0,-1,-,LOSS,1.8
2026-07-21 22:17,LONG,22:10,4074.9,5.1,20,4082.4,4079.4,3.0,+1,-,LOSS,1.9
2026-07-22 01:32,LONG,01:22,4078.2,2.8,47,4089.1,4085.6,3.5,+1,-,LOSS,0.4
2026-07-22 07:10,LONG,07:04,4086.1,5.0,45,4093.9,4090.7,3.2,+1,-,WIN,24.2
2026-07-22 08:03,LONG,08:00,4102.1,4.7,53,4112.6,4107.4,5.2,+1,-,WIN,11.3
2026-07-22 10:13,LONG,10:04,4137.5,6.5,73,4142.0,4139.0,3.0,+1,-,LOSS,1.3
2026-07-22 13:30,SHORT,13:23,4133.0,3.5,36,4120.0,4123.8,3.8,-1,-,LOSS,0.3
2026-07-22 16:39,SHORT,16:29,4123.2,3.1,47,4118.8,4121.8,3.0,+1,-,LOSS,0.1
2026-07-22 19:27,LONG,19:20,4132.8,4.5,81,4135.8,4132.8,3.0,+1,-,LOSS,1.2
2026-07-22 20:22,LONG,20:19,4132.0,5.0,72,4136.7,4132.9,3.8,+1,-,WIN,9.1
2026-07-22 20:39,LONG,20:30,4139.8,4.8,72,4149.8,4143.0,6.8,+1,-,WIN,3.2
2026-07-22 21:07,LONG,20:58,4155.1,6.1,74,4162.3,4158.4,3.9,+1,-,LOSS,0.5
2026-07-22 22:02,LONG,22:00,4154.8,6.2,54,4157.5,4154.5,3.0,+1,-,WIN,4.6
2026-07-22 23:08,SHORT,22:56,4164.8,6.6,87,4162.4,4165.4,3.0,+1,-,WIN,40.0
2026-07-23 06:52,LONG,06:45,4127.0,3.3,42,4133.7,4130.7,3.0,+0,co,LOSS,1.2
2026-07-23 08:35,SHORT,08:30,4139.3,4.7,83,4133.1,4138.2,5.1,+1,co,WIN,17.9
2026-07-23 14:53,SHORT,14:42,4102.5,6.7,54,4094.4,4098.8,4.4,-1,-,LOSS,0.0
2026-07-23 15:18,SHORT,15:14,4095.9,4.8,83,4094.1,4097.1,3.0,-1,-,LOSS,1.5
