time,side,entry,sl,risk_t,idx
2026-05-26 09:44:00,SHORT,4545.8,4548.8,30,43347
2026-05-26 11:25:00,SHORT,4558,4561,30,43447
2026-05-26 17:58:00,SHORT,4523.6,4527.2,36,43840
2026-05-27 10:44:00,SHORT,4496.2,4500.6,44,44785
2026-05-29 09:50:00,LONG,4569.6,4565.4,42,47486
2026-06-02 13:59:00,SHORT,4532.1,4535.4,33,50493
2026-06-02 23:13:00,SHORT,4505.5,4509.2,37,50986
2026-06-03 09:34:00,SHORT,4470.3,4473.4,31,51607
2026-06-04 11:38:00,LONG,4513.1,4509.8,33,53110
2026-06-04 16:15:00,LONG,4508.4,4505.4,30,53387
2026-06-10 19:20:00,SHORT,4112.8,4116.2,34,59087
2026-06-15 13:34:00,LONG,4384.5,4378.2,63,62881
2026-06-16 08:13:00,LONG,4359.4,4356.4,30,63938
2026-06-16 12:56:00,LONG,4374.1,4370.9,32,64221
2026-06-17 15:18:00,LONG,4373,4369.2,38,65737
2026-06-17 17:37:00,LONG,4393.3,4390.3,30,65876
2026-06-18 08:50:00,SHORT,4296.2,4299.4,32,66729
2026-06-18 11:06:00,SHORT,4268.7,4272.8,41,66865
2026-06-18 15:36:00,SHORT,4248.2,4253.4,52,67135
2026-06-22 00:48:00,LONG,4197.1,4192.5,46,68767
2026-06-29 10:02:00,SHORT,4044.4,4048.1,37,76211
2026-06-29 13:25:00,SHORT,4056,4059.7,37,76414
2026-06-30 00:42:00,SHORT,4005.8,4011.4,56,77028
2026-07-06 00:06:00,SHORT,4184.6,4190.1,55,82264
2026-07-06 09:34:00,SHORT,4149.4,4152.5,31,82832
2026-07-07 11:43:00,LONG,4157.1,4154.1,30,84327
2026-07-13 13:42:00,SHORT,4062.8,4066.5,37,89952
2026-07-15 01:48:00,SHORT,4045.8,4048.8,30,91993
2026-07-21 18:32:00,LONG,4089.1,4085.6,35,98512
2026-07-22 00:10:00,LONG,4093.9,4090.7,32,98783
2026-07-22 13:22:00,LONG,4136.7,4132.9,38,99575
2026-07-22 14:07:00,LONG,4162.3,4158.4,39,99620
2026-07-23 12:20:00,SHORT,4077.8,4082,42,100892
